analyte,n_comparisons,n_attenuation_required,attenuation_fraction,logp,solubility_ppm,mw
Acetamiprid,6,4,0.6667,0.800,4250,222.68
Atrazine-desethyl,9,8,0.8889,1.510,3200,187.63
Cadusafos,2,2,1.0000,3.900,245,270.39
Carbendazim,12,6,0.5000,1.520,8,191.19
Carbofuran,1,0,0.0000,2.320,351,221.26
Chloridazon,1,1,1.0000,1.140,400,221.64
Chlorsulfuron,2,1,0.5000,-1.340,125,357.77
Cyprodinil,3,2,0.6667,3.590,13,225.29
Epoxiconazole,3,1,0.3333,3.470,13.038,329.76
Fenpropimorph,2,0,0.0000,5.500,1000,303.49
Flutolanil,2,1,0.5000,3.700,8.01,323.31
Flutriafol,2,0,0.0000,2.520,130,301.30
Hexaconazole,2,1,0.5000,3.660,17,314.21
Hexythiazox,1,1,1.0000,5.570,0.5,352.88
Imazalil,1,1,1.0000,3.820,0.18,297.18
Imazamox,2,1,0.5000,0.730,4413,305.33
Mepiquat chloride,3,2,0.6667,-2.820,529000,149.66
Mesotrione,2,2,1.0000,0.900,15000,339.32
Metolachlor,2,0,0.0000,3.130,530,283.80
Molinate,1,0,0.0000,3.210,970,187.30
Monocrotophos,1,1,1.0000,-0.200,1e+06,223.16
Myclobutanil,9,8,0.8889,2.940,142,288.78
Omethoate,2,0,0.0000,-0.740,1.01,213.19
Oxadiazon,1,0,0.0000,4.800,0.7,345.22
Pendimethalin,3,2,0.6667,5.200,0.33,281.31
Pirimicarb,2,1,0.5000,1.700,2700,238.29
Prochloraz,8,5,0.6250,4.100,34,376.67
Propiconazole,5,3,0.6000,3.720,100,342.22
Pyraclostrobin,2,1,0.5000,3.990,1.9,387.82
Pyridaben,1,0,0.0000,6.370,0.012,364.93
Pyriproxyfen,4,1,0.2500,4.800,0.681,321.37
Quinalphos,3,3,1.0000,4.440,22,298.30
Terbuthylazine,1,0,0.0000,3.400,5,229.71
Thiacloprid,1,1,1.0000,1.260,185,252.72
Thiophanate-methyl,1,0,0.0000,1.400,26.6,342.39
