campaign,station,parameter,group,unit,value_num,qualifier,raw
C1,1,"1,2,3-Benzotriazole",micropollutant,ug/L,0.6542645927860243,,0.6542645927860243
C1,1,"1,2,5,6,9,10-Hexabromocyclododecane",micropollutant,ug/L,0.0,,0
C1,1,"1,3-Dinitropyrene",micropollutant,ug/L,0.0,,0
C1,1,"1,6-Dinitropyrene",micropollutant,ug/L,0.0,,0
C1,1,"1,8-Dinitropyrene",micropollutant,ug/L,0.0,,0
C1,1,1-Hydroxyibuprofen,micropollutant,ug/L,0.0,,0
C1,1,17-alpha-Estradiol,micropollutant,ug/L,0.0,,0
C1,1,17-alpha-Ethinylestradiol,micropollutant,ug/L,0.0,,0
C1,1,17-beta-Estradiol,micropollutant,ug/L,0.0,,0
C1,1,"2,2',3,3',4,4',5,5',6,6'-Decabromodiphenyl ether",micropollutant,ug/L,0.0,,0
C1,1,"2,2',3,3',4,4',5,5',6-Nonabromodiphenyl ether",micropollutant,ug/L,0.0,,0
C1,1,"2,2',3,4,4',5',6-Heptabromodiphenyl ether",micropollutant,ug/L,0.0,,0
C1,1,"2,2',3,4,4',5,5',6-Octabromodiphenyl ether",micropollutant,ug/L,0.0,,0
C1,1,"2,2',4,4',5,5'-Hexabromodiphenyl ether",micropollutant,ug/L,0.0,,0
C1,1,"2,2',4,4',5,6'-Hexabromodiphenyl ether",micropollutant,ug/L,0.0,,0
C1,1,"2,2',4,4'-Tetrabromodiphenyl ether",micropollutant,ug/L,0.0,,0
C1,1,"2,3,3',4,4',5,5',6-Octabromodiphenyl ether",micropollutant,ug/L,0.0,,0
C1,1,"2,4,4'-tribromodiphenylether",micropollutant,ug/L,0.0,,0
C1,1,"2,4,6-Tribromophenol",micropollutant,ug/L,0.0,,0
C1,1,"2,4-Dibromophenol",micropollutant,ug/L,0.0,,0
C1,1,"2,4-Dihydroxybenzophenone",micropollutant,ug/L,0.0,,0
C1,1,"2,4-Dinitrophenol",micropollutant,ug/L,0.0,,0
C1,1,2-(2-Naphthalenyl)benzothiophene,micropollutant,ug/L,0.0,,0
C1,1,2-Hydroxyibuprofen,micropollutant,ug/L,0.0,,0
C1,1,2-Mercapto-benzothiazole,micropollutant,ug/L,0.0,,0
C1,1,2-Methylanthraquinone,micropollutant,ug/L,0.0,,0
C1,1,3-Chloroaniline,micropollutant,ug/L,0.0,,0
C1,1,3-Nitrobenzanthrone,micropollutant,ug/L,0.0,,0
C1,1,"4,4'-Dichlorobenzophenone",micropollutant,ug/L,0.0,,0
C1,1,4-Aminomethyl-benzenesulfonamide,micropollutant,ug/L,0.0,,0
C1,1,4-Chloroaniline,micropollutant,ug/L,0.0,,0
C1,1,4-Methyl-1H-benzotriazole,micropollutant,ug/L,0.0,,0
C1,1,4-Methylbenzylidenecamphor,micropollutant,ug/L,0.0,,0
C1,1,4-Nonylphenoxy acetic acid,micropollutant,ug/L,0.0,,0
C1,1,4-tert-Octylphenol diethoxylate,micropollutant,ug/L,0.0,,0
C1,1,4-tert-Octylphenol monoethoxylate,micropollutant,ug/L,0.0,,0
