seg_id,from_node,to_node,strahler
S-01,1,6,1
S-02,2,7,1
S-03,3,6,1
S-04,4,5,1
S-05,5,9,2
S-06,6,9,2
S-07,7,5,2
S-08,8,7,1
S-09,9,11,3
S-10,12,21,1
S-100,99,131,1
S-101,100,126,3
S-102,101,124,1
S-103,105,104,1
S-104,102,121,2
S-105,104,145,2
S-106,106,133,1
S-107,107,109,1
S-108,109,116,2
S-109,110,131,1
S-11,10,11,1
S-110,111,142,3
S-111,112,146,1
S-112,113,132,1
S-113,114,124,1
S-114,115,151,3
S-115,116,132,2
S-116,117,133,1
S-117,118,119,1
S-118,119,134,2
S-119,120,134,1
S-12,11,14,3
S-120,103,349,2
S-121,123,121,2
S-122,121,137,3
S-123,122,123,1
S-124,128,123,1
S-125,124,154,2
S-126,125,212,1
S-127,126,136,3
S-128,127,157,1
S-129,129,143,1
S-13,13,14,1
S-130,130,154,1
S-131,131,152,2
S-132,132,155,2
S-133,133,151,2
S-134,134,162,2
S-135,135,215,1
S-136,136,178,3
S-137,137,143,3
S-138,138,209,1
S-139,139,165,1
S-14,14,16,3
S-140,140,155,1
S-141,141,145,1
S-142,142,220,3
S-143,143,152,3
S-144,144,146,1
S-145,145,191,2
S-146,146,186,2
S-147,147,235,1
S-148,149,162,1
S-149,148,176,1
S-15,15,16,1
S-150,150,163,1
S-151,151,187,3
S-152,152,171,3
S-153,153,189,1
S-154,154,337,2
S-155,155,292,2
S-156,156,212,1
S-157,158,157,1
S-158,157,171,2
S-159,159,163,1
S-16,16,18,3
S-160,160,178,1
S-161,161,165,1
S-162,162,183,2
S-163,163,168,2
S-164,165,195,2
S-165,166,219,1
S-166,164,168,1
S-167,167,211,1
S-168,168,194,2
S-169,169,184,1
S-17,17,22,1
S-170,170,179,1
S-171,171,381,3
S-172,172,176,1
S-173,173,234,1
S-174,174,208,1
S-175,175,184,1
S-176,176,347,2
S-177,177,191,1
S-178,178,186,3
S-179,179,287,2
S-18,19,18,1
S-180,180,183,1
S-181,182,187,1
S-182,183,327,2
S-183,184,201,2
S-184,185,194,1
S-185,186,352,3
S-186,187,218,3
S-187,188,216,1
S-188,181,189,1
S-189,190,208,1
S-19,18,21,3
S-190,191,276,2
S-191,192,289,1
S-192,193,195,1
S-193,194,200,2
S-194,195,215,2
S-195,196,219,1
S-196,197,201,1
S-197,198,200,1
S-198,203,207,1
S-199,189,213,2
S-20,20,22,1
S-200,200,269,2
S-201,201,204,2
S-202,202,209,1
S-203,204,211,3
S-204,205,234,1
S-205,207,204,2
S-206,208,213,2
S-207,209,235,2
S-208,210,216,1
S-209,211,309,3
S-21,21,31,3
S-210,212,297,2
S-211,206,256,1
S-212,214,218,1
S-213,215,298,2
S-214,217,229,1
S-215,218,295,3
S-216,219,207,2
S-217,213,225,3
S-218,199,220,1
S-219,220,267,3
S-22,22,31,2
S-220,221,237,1
S-221,216,225,2
S-222,222,282,1
S-223,223,231,1
S-224,224,337,1
S-225,225,231,3
S-226,226,229,1
S-227,227,333,1
S-228,228,276,1
S-229,229,308,2
S-23,23,35,1
S-230,230,347,1
S-231,231,244,3
S-232,232,249,1
S-233,233,245,1
S-234,234,279,2
S-235,236,249,1
S-236,237,256,2
S-237,241,237,1
S-238,235,282,2
S-239,239,395,1
S-24,24,38,1
S-240,238,242,1
S-241,240,315,1
S-242,244,245,3
S-243,247,242,1
S-244,243,317,1
S-245,242,244,2
S-246,245,257,3
S-247,246,327,1
S-248,248,297,1
S-249,249,279,2
S-25,25,29,1
S-250,250,290,1
S-251,251,275,1
S-252,252,270,1
S-253,253,341,1
S-254,254,349,1
S-255,255,258,1
S-256,256,306,2
S-257,257,270,3
S-258,259,257,1
S-259,258,271,2
S-26,26,33,1
S-260,260,309,1
S-261,261,293,1
S-262,262,269,1
S-263,264,258,1
S-264,263,323,1
S-265,265,318,1
S-266,266,267,1
S-267,267,321,3
S-268,268,334,1
S-269,269,275,2
S-27,28,29,1
S-270,270,271,3
S-271,271,329,3
S-272,273,295,1
S-273,274,290,1
S-274,275,350,2
S-275,277,292,1
S-276,278,339,1
S-277,279,338,3
S-278,280,289,1
S-279,281,342,1
S-28,27,33,1
S-280,282,389,2
S-281,283,364,1
S-282,284,324,1
S-283,285,293,1
S-284,286,353,1
S-285,272,287,1
S-286,287,308,2
S-287,288,426,1
S-288,289,340,2
S-289,290,317,2
S-29,29,49,2
S-290,291,298,1
S-291,292,365,2
S-292,293,397,2
S-293,294,306,1
S-294,295,404,3
S-295,296,307,1
S-296,297,346,2
S-297,276,340,2
S-298,298,338,2
S-299,299,307,1
S-30,31,41,3
S-300,300,466,1
S-301,301,359,1
S-302,302,325,1
S-303,303,315,1
S-304,304,406,1
S-305,305,341,1
S-306,306,371,2
S-307,307,426,2
S-308,308,358,3
S-309,309,323,3
S-31,36,35,1
S-310,310,350,1
S-311,311,404,1
S-312,312,329,1
S-313,313,342,1
S-314,314,435,1
S-315,315,371,2
S-316,316,321,1
S-317,317,333,2
S-318,318,325,2
S-319,328,318,1
S-32,33,41,2
S-320,319,375,1
S-321,320,462,1
S-322,321,393,3
S-323,322,406,1
S-324,323,399,3
S-325,324,334,2
S-326,325,330,2
S-327,327,362,2
S-328,329,360,3
S-329,330,324,2
S-33,30,46,1
S-330,331,495,1
S-331,332,330,1
S-332,333,362,2
S-333,334,339,2
S-334,336,353,1
S-335,337,364,2
S-336,338,375,3
S-337,340,346,3
S-338,341,381,2
S-339,342,395,2
S-34,32,55,1
S-340,343,359,1
S-341,339,374,2
S-342,344,449,1
S-343,345,360,1
S-344,346,462,3
S-345,347,383,2
S-346,348,393,1
S-347,350,557,2
S-348,349,368,2
S-349,326,352,1
S-35,34,51,1
S-350,351,363,1
S-351,352,389,3
S-352,353,477,2
S-353,354,481,1
S-354,355,368,1
S-355,356,379,1
S-356,357,386,1
S-357,335,358,1
S-358,358,464,3
S-359,359,551,2
S-36,35,38,2
S-360,360,363,3
S-361,361,507,1
S-362,362,398,3
S-363,364,383,2
S-364,365,399,2
S-365,366,365,1
S-366,367,463,1
S-367,368,469,2
S-368,369,417,1
S-369,363,402,3
S-37,37,60,1
S-370,370,398,1
S-371,371,408,3
S-372,372,386,1
S-373,373,388,1
S-374,374,418,3
S-375,378,374,2
S-376,375,569,3
S-377,376,401,1
S-378,377,438,1
S-379,394,378,1
S-38,38,87,2
S-380,379,378,2
S-381,407,379,1
S-382,380,586,1
S-383,381,456,3
S-384,382,402,1
S-385,383,554,3
S-386,384,409,1
S-387,385,408,1
S-388,388,392,2
S-389,387,401,1
S-39,41,45,3
S-390,389,411,3
S-391,390,397,1
S-392,386,434,2
S-393,391,392,1
S-394,392,429,2
S-395,393,436,3
S-396,395,507,2
S-397,396,449,1
S-398,398,451,3
S-399,399,412,3
S-40,40,74,1
S-400,400,388,1
S-401,401,471,2
S-402,402,409,3
S-403,403,411,1
S-404,404,416,3
S-405,405,465,1
S-406,408,413,3
S-407,409,453,3
S-408,410,412,1
S-409,411,445,3
S-41,39,54,1
S-410,412,456,3
S-411,424,416,1
S-412,413,455,4
S-413,414,417,1
S-414,406,432,2
S-415,415,477,1
S-416,417,468,2
S-417,428,418,1
S-418,419,457,1
S-419,420,432,1
S-42,42,46,1
S-420,418,413,3
S-421,421,453,1
S-422,422,509,1
S-423,423,448,1
S-424,416,440,3
S-425,425,512,1
S-426,426,441,2
S-427,427,435,1
S-428,429,431,2
S-429,397,441,2
S-43,43,49,1
S-430,431,434,2
S-431,443,431,1
S-432,433,438,1
S-433,434,470,3
S-434,432,464,2
S-435,435,524,2
S-436,430,440,1
S-437,436,474,3
S-438,437,436,1
S-439,438,519,2
S-44,44,45,1
S-440,439,445,1
S-441,440,486,3
S-442,441,466,3
S-443,442,493,1
S-444,444,429,1
S-445,445,476,3
S-446,446,465,1
S-447,447,468,1
S-448,450,448,1
S-449,448,451,2
S-45,45,60,3
S-450,449,491,2
S-451,451,503,3
S-452,453,467,3
S-453,452,514,1
S-454,454,491,1
S-455,455,501,4
S-456,456,531,4
S-457,457,481,2
S-458,458,457,1
S-459,459,455,1
S-46,46,54,2
S-460,460,463,1
S-461,461,511,1
S-462,462,476,3
S-463,463,527,2
S-464,464,469,3
S-465,465,489,2
S-466,466,495,3
S-467,467,510,3
S-468,480,467,1
S-469,468,470,2
S-47,47,55,1
S-470,470,471,3
S-471,471,487,3
S-472,473,474,1
S-473,474,484,3
S-474,469,564,3
S-475,475,484,1
S-476,477,489,2
S-477,478,540,1
S-478,479,634,1
S-479,481,490,2
S-48,48,93,1
S-480,482,541,1
S-481,483,549,1
S-482,484,508,3
S-483,485,520,1
S-484,472,486,1
S-485,487,493,3
S-486,488,490,1
S-487,489,558,3
S-488,490,528,2
S-489,476,522,4
S-49,49,57,2
S-490,491,521,2
S-491,492,501,1
S-492,493,499,3
S-493,494,500,1
S-494,498,487,1
S-495,495,500,3
S-496,496,502,1
S-497,497,503,1
S-498,499,502,3
S-499,500,559,3
S-50,50,51,1
S-500,501,547,4
S-501,502,512,3
S-502,517,499,1
S-503,503,520,3
S-504,504,522,1
S-505,505,551,1
S-506,506,508,1
S-507,507,515,2
S-508,512,511,3
S-509,525,510,1
S-51,52,57,1
S-510,508,569,3
S-511,509,532,5
S-512,510,524,3
S-513,515,509,5
S-514,511,539,3
S-515,513,514,1
S-516,521,515,5
S-517,514,570,2
S-518,516,519,1
S-519,519,530,2
S-52,53,75,1
S-520,486,527,3
S-521,520,545,3
S-522,522,570,4
S-523,546,521,5
S-524,523,576,1
S-525,524,559,3
S-526,529,530,5
S-527,518,548,1
S-528,526,555,1
S-529,537,528,5
S-53,54,63,2
S-530,528,529,5
S-531,533,529,3
S-532,530,554,5
S-533,532,531,5
S-534,531,540,5
S-535,534,535,1
S-536,535,532,2
S-537,587,533,1
S-538,536,539,1
S-539,565,533,3
S-54,55,142,2
S-540,544,537,1
S-541,538,563,1
S-542,539,541,3
S-543,527,548,3
S-544,540,537,5
S-545,541,624,3
S-546,542,550,1
S-547,543,568,1
S-548,545,546,5
S-549,583,545,5
S-55,57,83,2
S-550,553,546,1
S-551,547,549,4
S-552,549,550,4
S-553,552,567,1
S-554,550,580,4
S-555,551,582,2
S-556,561,557,5
S-557,554,561,5
S-558,559,555,4
S-559,568,547,2
S-56,51,66,2
S-560,556,620,1
S-561,557,558,5
S-562,558,560,5
S-563,560,563,5
S-564,548,578,3
S-565,555,583,4
S-566,562,581,1
S-567,566,565,1
S-568,563,589,5
S-569,571,567,1
S-57,59,64,1
S-570,567,564,2
S-571,572,568,1
S-572,570,578,4
S-573,573,576,1
S-574,575,535,1
S-575,574,626,1
S-576,576,615,2
S-577,569,600,4
S-578,657,560,1
S-579,577,613,1
S-58,60,71,3
S-580,579,582,1
S-581,580,581,4
S-582,601,565,3
S-583,581,615,4
S-584,618,561,3
S-585,582,584,2
S-586,578,586,4
S-587,584,591,5
S-588,585,589,1
S-589,586,609,4
S-59,61,89,1
S-590,602,583,5
S-591,564,619,3
S-592,588,591,1
S-593,589,593,5
S-594,606,593,4
S-595,590,580,1
S-596,591,609,5
S-597,592,597,1
S-598,593,595,5
S-599,595,600,5
S-60,63,75,3
S-600,597,584,5
S-601,594,605,1
S-602,596,602,1
S-603,599,597,5
S-604,598,601,1
S-605,600,599,5
S-606,603,599,1
S-607,614,595,1
S-608,610,601,3
S-609,628,606,4
S-61,64,63,2
S-610,604,617,1
S-611,611,606,1
S-612,605,610,2
S-613,608,605,1
S-614,609,619,5
S-615,612,626,1
S-616,613,649,4
S-617,615,613,4
S-618,616,637,1
S-619,617,602,5
S-62,58,66,1
S-620,607,627,1
S-621,620,617,5
S-622,619,623,5
S-623,649,620,5
S-624,621,623,1
S-625,624,634,3
S-626,629,610,2
S-627,623,627,5
S-628,622,618,1
S-629,625,638,1
S-63,62,67,1
S-630,626,624,2
S-631,638,618,3
S-632,627,637,5
S-633,630,628,1
S-634,635,628,4
S-635,636,629,1
S-636,632,629,2
S-637,631,632,2
S-638,639,631,1
S-639,634,652,3
S-64,67,64,2
S-640,756,631,1
S-641,640,632,1
S-642,633,680,1
S-643,641,635,4
S-644,646,635,1
S-645,637,647,5
S-646,651,638,3
S-647,642,641,1
S-648,645,641,4
S-649,696,689,1
S-65,65,74,1
S-650,737,651,1
S-651,654,645,1
S-652,643,652,1
S-653,644,658,1
S-654,653,645,4
S-655,647,671,5
S-656,667,647,3
S-657,648,686,1
S-658,650,676,1
S-659,652,665,3
S-66,66,78,2
S-660,668,651,3
S-661,656,653,1
S-662,672,653,4
S-663,655,658,1
S-664,659,649,4
S-665,658,661,2
S-666,661,659,4
S-667,675,659,1
S-668,660,665,1
S-669,683,661,4
S-67,56,82,1
S-670,664,663,1
S-671,662,670,1
S-672,663,666,2
S-673,669,663,1
S-674,665,681,3
S-675,666,673,2
S-676,682,666,1
S-677,698,668,3
S-678,670,671,2
S-679,671,694,5
S-68,68,67,1
S-680,678,672,1
S-681,700,672,4
S-682,684,668,2
S-683,674,667,1
S-684,673,692,2
S-685,676,688,3
S-686,679,676,3
S-687,690,683,3
S-688,677,679,1
S-689,680,686,3
S-69,69,71,1
S-690,681,680,3
S-691,691,681,1
S-692,721,684,1
S-693,703,683,3
S-694,687,667,3
S-695,685,684,1
S-696,686,679,3
S-697,689,687,3
S-698,688,690,3
S-699,692,689,3
S-70,70,85,1
S-700,697,688,1
S-701,699,690,1
S-702,695,673,1
S-703,701,670,2
S-704,708,694,1
S-705,693,698,1
S-706,694,706,5
S-707,709,698,3
S-708,717,700,4
S-709,705,700,1
S-71,73,85,1
S-710,702,701,1
S-711,711,710,1
S-712,733,703,3
S-713,704,703,1
S-714,706,730,5
S-715,707,709,1
S-716,714,709,3
S-717,729,692,2
S-718,710,719,2
S-719,712,710,1
S-72,74,89,2
S-720,713,725,1
S-721,718,714,3
S-722,715,714,1
S-723,716,687,1
S-724,722,717,4
S-725,804,718,1
S-726,719,724,3
S-727,720,717,1
S-728,757,701,2
S-729,747,719,3
S-73,72,78,1
S-730,754,706,3
S-731,724,722,4
S-732,735,722,1
S-733,723,725,1
S-734,761,732,1
S-735,738,724,4
S-736,725,733,2
S-737,726,729,1
S-738,728,732,1
S-739,742,729,1
S-74,75,82,3
S-740,730,752,5
S-741,727,734,1
S-742,731,752,1
S-743,736,718,3
S-744,732,736,2
S-745,741,733,2
S-746,758,734,1
S-747,753,736,3
S-748,778,738,4
S-749,749,738,3
S-75,76,83,1
S-750,739,743,1
S-751,734,747,2
S-752,801,741,1
S-753,771,741,2
S-754,746,754,2
S-755,740,743,1
S-756,743,772,2
S-757,744,746,1
S-758,745,751,1
