reach_id,up_station,down_station,campaign,campaign_label,analyte,group,up_value,down_value,lod,q_up,q_down,down_load,max_upstream_load,verdict
R-32-10,32,10,C1,Aug-2017,4-Aminomethyl-benzenesulfonamide,micropollutant,0.0,0.18768622892595982,,8.0,1.3,0.24399209760374777,,onset_undecidable_no_lod
R-32-10,32,10,C2,Nov-2017,4-Aminomethyl-benzenesulfonamide,micropollutant,0.0,0.2994343793386249,,8.0,1.3,0.38926469314021234,,onset_undecidable_no_lod
R-32-10,32,10,C3,Feb-2018,Amoxicillin,micropollutant,0.0,0.35751224210759797,,25.0,1.0,0.35751224210759797,,onset_undecidable_no_lod
R-32-10,32,10,C3,Feb-2018,Anthracene,micropollutant,0.0,177.8021574299106,,25.0,1.0,177.8021574299106,,onset_undecidable_no_lod
R-32-10,32,10,C1,Aug-2017,As,metal,0.0,6.006833283000001,,8.0,1.3,7.8088832679000015,,onset_undecidable_no_lod
R-32-10,32,10,C3,Feb-2018,Benzothiazole,micropollutant,0.0,18.8734401588424,,25.0,1.0,18.8734401588424,,onset_undecidable_no_lod
R-32-10,32,10,C3,Feb-2018,Cd,metal,0.0,0.3922661959999997,,25.0,1.0,0.3922661959999997,,onset_undecidable_no_lod
R-32-10,32,10,C1,Aug-2017,Di(2- ethylhexyl)phthalate (DEHP),micropollutant,0.0,13.92663974840519,,8.0,1.3,18.104631672926747,,onset_undecidable_no_lod
R-32-10,32,10,C4,May-2018,Di(2- ethylhexyl)phthalate (DEHP),micropollutant,0.0,5.026366073108495,,14.0,0.9,4.523729465797645,,onset_undecidable_no_lod
R-32-10,32,10,C2,Nov-2017,Drometrizole,micropollutant,0.0,0.7502523912445758,,8.0,1.3,0.9753281086179485,,onset_undecidable_no_lod
R-32-10,32,10,C3,Feb-2018,Ethylhexylmethoxycinnamate,micropollutant,0.0,0.7399449085980312,,25.0,1.0,0.7399449085980312,,onset_undecidable_no_lod
R-32-10,32,10,C3,Feb-2018,Galaxolide,micropollutant,0.0,0.29143417666434585,,25.0,1.0,0.29143417666434585,,onset_undecidable_no_lod
R-32-10,32,10,C1,Aug-2017,Homosalate,micropollutant,0.0,7.570373242015033,,8.0,1.3,9.841485214619544,,onset_undecidable_no_lod
R-32-10,32,10,C1,Aug-2017,N-Benzyldimethylamine,micropollutant,0.0,0.103125375119086,,8.0,1.3,0.1340629876548118,,onset_undecidable_no_lod
R-32-10,32,10,C1,Aug-2017,NO2,conventional,0.0,0.475,,8.0,1.3,0.6174999999999999,,onset_undecidable_no_lod
R-32-10,32,10,C2,Nov-2017,NO2,conventional,0.0,0.959,,8.0,1.3,1.2467,,onset_undecidable_no_lod
R-32-10,32,10,C1,Aug-2017,NO3,conventional,0.0,0.17900000000000005,,8.0,1.3,0.23270000000000007,,onset_undecidable_no_lod
R-32-10,32,10,C2,Nov-2017,NO3,conventional,0.0,8.297,,8.0,1.3,10.786100000000001,,onset_undecidable_no_lod
R-32-10,32,10,C3,Feb-2018,Norfloxacin,micropollutant,0.0,0.8500074748375257,,25.0,1.0,0.8500074748375257,,onset_undecidable_no_lod
R-32-10,32,10,C3,Feb-2018,Ofloxacin,micropollutant,0.0,0.2807750139253049,,25.0,1.0,0.2807750139253049,,onset_undecidable_no_lod
R-32-10,32,10,C2,Nov-2017,Propiconazole,micropollutant,0.0,0.06946799843766473,0.06798867882490879,8.0,1.3,0.09030839796896414,0.5439094305992703,onset_possible
R-32-10,32,10,C1,Aug-2017,Tetracycline,micropollutant,0.0,0.0792811346342901,,8.0,1.3,0.10306547502457712,,onset_undecidable_no_lod
R-39-23,39,23,C2,Nov-2017,4-Aminomethyl-benzenesulfonamide,micropollutant,0.0,0.20438784034196414,,10.7,1.8,0.36789811261553546,,onset_undecidable_no_lod
R-39-23,39,23,C1,Aug-2017,4-tert-Octylphenol diethoxylate,micropollutant,0.0,0.02492157268889446,,10.7,1.8,0.04485883084001003,,onset_undecidable_no_lod
R-39-23,39,23,C3,Feb-2018,5-Methyl-1H-benzotriazole (5-Tolytriazole),micropollutant,0.0,0.025296231676479614,,170.0,2.2,0.055651709688255155,,onset_undecidable_no_lod
R-39-23,39,23,C3,Feb-2018,8-Hydroxyquinoline,micropollutant,0.0,0.043344845244029595,,170.0,2.2,0.09535865953686512,,onset_undecidable_no_lod
R-39-23,39,23,C3,Feb-2018,Acetaminophen (Paracetamol),micropollutant,0.0,2.384716680471458,,170.0,2.2,5.246376697037208,,onset_undecidable_no_lod
R-39-23,39,23,C1,Aug-2017,Anthracene,micropollutant,0.0,89.14639868189903,,10.7,1.8,160.46351762741827,,onset_undecidable_no_lod
R-39-23,39,23,C4,May-2018,Chlorpyrifos,micropollutant,0.0,0.20115476268570492,,41.0,1.9,0.38219404910283933,,onset_undecidable_no_lod
R-39-23,39,23,C4,May-2018,Ciprofloxacin,micropollutant,0.0,0.7179024284710703,,41.0,1.9,1.3640146140950336,,onset_undecidable_no_lod
R-39-23,39,23,C2,Nov-2017,Cyclopentadecanolide,micropollutant,0.0,35.50155609142811,,10.7,1.8,63.902800964570595,,onset_undecidable_no_lod
R-39-23,39,23,C4,May-2018,Di(2- ethylhexyl)phthalate (DEHP),micropollutant,0.0,9.89869656261575,,41.0,1.9,18.807523468969926,,onset_undecidable_no_lod
R-39-23,39,23,C2,Nov-2017,Erythromycin,micropollutant,0.0,0.18108585181755915,,10.7,1.8,0.3259545332716065,,onset_undecidable_no_lod
R-39-23,39,23,C3,Feb-2018,Ethylhexylmethoxycinnamate,micropollutant,0.0,0.3480709874909987,,170.0,2.2,0.7657561724801971,,onset_undecidable_no_lod
R-39-23,39,23,C4,May-2018,Ethylhexylmethoxycinnamate,micropollutant,0.0,0.5586068665157564,,41.0,1.9,1.0613530463799372,,onset_undecidable_no_lod
R-39-23,39,23,C1,Aug-2017,Homosalate,micropollutant,0.0,6.150538301314354,,10.7,1.8,11.070968942365838,,onset_undecidable_no_lod
R-39-23,39,23,C1,Aug-2017,Imazamox,micropollutant,0.0,0.07030172834383704,0.04013470736213615,10.7,1.8,0.12654311101890667,0.42944136877485684,onset_possible
