reach_id,up_station,down_station,n_analyte_onsets,n_persistent_ge3,persist_1,persist_2,persist_3,persist_4
R-42-4,42,4,5,0,5,0,0,0
R-56-5,56,5,8,0,7,1,0,0
R-57-6,57,6,3,0,2,1,0,0
R-32-10,32,10,1,0,1,0,0,0
R-68-12,68,12,7,0,7,0,0,0
R-44-13,44,13,15,0,13,2,0,0
R-60-16,60,16,6,0,5,1,0,0
R-41-19,41,19,0,0,0,0,0,0
R-45-22,45,22,4,0,3,1,0,0
R-39-23,39,23,6,0,6,0,0,0
R-59-32,59,32,19,2,12,5,2,0
R-62-42,62,42,7,0,7,0,0,0
R-49-48,49,48,7,0,7,0,0,0
R-50-49,50,49,10,0,10,0,0,0
R-70-50,70,50,1,0,1,0,0,0
R-52-53,52,53,2,0,2,0,0,0
R-65-58,65,58,9,0,7,2,0,0
R-73-60,73,60,6,0,5,1,0,0
R-47-67,47,67,3,0,3,0,0,0
R-48-75,48,75,2,0,2,0,0,0
