reach_id,up_station,down_station,up_seg,down_seg,immediate,n_intervening_stations,d_catchment_km2,d_n_agriculture_groundwater_irrigation,d_km2_agriculture_groundwater_irrigation,d_n_agriculture_surface_irrigation,d_km2_agriculture_surface_irrigation,d_n_industrial_firm,d_km2_industrial_firm,d_n_industrial_zone,d_km2_industrial_zone,d_n_urban_corine,d_km2_urban_corine,d_nfirm_agriculture_industry,d_nfirm_alcohol_beverage,d_nfirm_chemical,d_nfirm_energy_waste,d_nfirm_food,d_nfirm_leather,d_nfirm_machinery_auto,d_nfirm_metal,d_nfirm_mining_stone,d_nfirm_pharma_cosmetic,d_nfirm_plastic_rubber,d_nfirm_textile,d_nfirm_unclassified,d_nfirm_wood_paper
R-42-4,42,4,S-696,S-687,True,0,63.0345,0,0.000000,1,1.884863,0,0.000000,0,0.000000,3,2.627465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-48-4,48,4,S-630,S-687,False,7,551.8407,0,0.000000,1,1.884863,534,0.000000,5,26.330004,43,61.828725,1,4,67,22,50,76,34,53,28,18,53,94,125,29
R-49-4,49,4,S-575,S-687,False,8,583.3839,0,0.000000,1,1.884863,534,0.000000,5,26.330004,49,71.878957,1,4,67,22,50,76,34,53,28,18,53,94,125,29
R-50-4,50,4,S-575,S-687,False,9,598.8599,0,0.000000,1,1.884863,563,0.000000,5,26.330004,50,72.167580,1,4,71,22,52,76,34,54,30,18,54,109,132,29
R-51-4,51,4,S-425,S-687,False,10,594.1776,0,0.000000,1,1.884863,552,0.000000,6,30.094770,50,65.701819,2,3,59,24,53,75,39,56,28,11,51,112,130,25
R-52-4,52,4,S-545,S-687,False,8,294.7637,0,0.000000,1,1.884863,273,0.000000,2,14.975125,27,38.804260,1,1,26,11,35,71,19,20,7,1,12,75,51,6
R-53-4,53,4,S-545,S-687,False,7,272.1490,0,0.000000,1,1.884863,232,0.000000,2,10.861690,21,34.356299,1,0,22,10,29,71,14,15,7,1,11,60,40,6
R-62-4,62,4,S-625,S-687,False,1,197.0753,0,0.000000,1,1.884863,18,0.000000,0,1.337142,8,8.671899,0,0,0,0,10,0,1,1,0,0,1,2,6,4
R-64-4,64,4,S-492,S-687,False,10,396.4652,0,0.000000,1,1.884863,511,0.000000,5,26.543876,43,58.836637,1,3,55,23,52,74,38,52,24,14,42,116,110,20
R-70-4,70,4,S-575,S-687,False,10,607.2972,0,0.000000,1,1.884863,615,0.000000,6,33.997766,51,77.117012,2,4,74,24,60,76,41,57,32,19,58,127,142,29
R-75-4,75,4,S-630,S-687,False,6,550.5612,0,0.000000,1,1.884863,534,0.000000,5,26.330004,43,58.730266,1,4,67,22,50,76,34,53,28,18,53,94,125,29
R-43-5,43,5,S-412,S-616,False,5,257.6577,0,0.000000,1,0.341968,178,0.000000,3,11.777440,26,17.780395,5,1,22,6,33,0,25,9,6,2,5,53,43,14
