seg_id,strahler,local_catchment_km2,watershed_km2,n_agriculture_groundwater_irrigation,n_agriculture_surface_irrigation,n_industrial_firm,n_industrial_zone,n_urban_corine,km2_agriculture_groundwater_irrigation,km2_agriculture_surface_irrigation,km2_industrial_firm,km2_industrial_zone,km2_urban_corine,nfirm_agriculture_industry,nfirm_alcohol_beverage,nfirm_chemical,nfirm_energy_waste,nfirm_food,nfirm_leather,nfirm_machinery_auto,nfirm_metal,nfirm_mining_stone,nfirm_pharma_cosmetic,nfirm_plastic_rubber,nfirm_textile,nfirm_unclassified,nfirm_wood_paper
S-01,1,12.2219,1710.4256,0,1,0,0,0,0.000000,0.065720,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-02,1,10.2863,1710.4256,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-03,1,8.1306,1710.4256,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-04,1,5.6494,1710.4256,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-05,2,8.7044,1710.4256,0,1,0,0,0,0.000000,1.057811,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-06,2,1.0656,1710.4256,0,0,0,0,0,0.000000,0.395895,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-07,2,3.8275,1710.4256,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-08,1,8.0425,1710.4256,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-09,3,2.9169,1710.4256,0,0,0,0,0,0.000000,1.743288,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-10,1,59.8231,1710.4256,0,1,0,0,0,0.000000,1.062836,0.000000,0.000000,0.038784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-100,1,10.8338,650.1094,0,0,0,0,0,0.000000,0.278769,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-101,3,14.0831,1710.4256,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-102,1,15.8669,259.0394,0,2,0,0,0,0.000000,3.771000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-103,1,6.6325,1710.4256,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-104,2,3.6169,650.1094,0,0,0,0,0,0.000000,0.238944,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-105,2,16.2231,1710.4256,0,0,0,0,1,0.000000,0.000000,0.000000,0.000000,0.159336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-106,1,10.3325,1710.4256,0,2,0,0,0,0.000000,1.794288,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-107,1,6.6575,650.1094,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-108,2,0.7662,650.1094,0,0,0,0,0,0.000000,0.490026,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-109,1,10.4456,650.1094,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-11,1,7.5950,1710.4256,0,1,0,0,0,0.000000,0.918327,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-110,3,20.9981,737.1169,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-111,1,13.5437,1710.4256,0,0,0,0,2,0.000000,0.037409,0.000000,0.000000,0.532236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-112,1,7.6800,650.1094,0,1,0,0,1,0.000000,4.557432,0.000000,0.000000,0.289234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-113,1,5.6738,259.0394,0,0,0,0,0,0.000000,0.803786,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-114,3,13.3606,1710.4256,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-115,2,6.3537,650.1094,0,2,0,0,0,0.000000,1.623626,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-116,1,10.9050,1710.4256,0,0,0,0,0,0.000000,0.885279,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-117,1,8.2963,314.0013,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-118,2,8.0631,314.0013,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-119,1,18.2819,314.0013,0,1,0,0,1,0.000000,3.721253,0.000000,0.000000,0.343600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-12,3,3.2044,1710.4256,0,0,0,0,0,0.000000,0.039364,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-120,2,59.3844,457.1144,2,3,0,0,4,2.341945,18.565185,0.000000,0.000000,1.983575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-121,2,2.1469,650.1094,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-122,3,6.6681,650.1094,0,6,0,0,0,0.000000,0.255849,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-123,1,6.1113,650.1094,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-124,1,6.3656,650.1094,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-125,2,6.1781,259.0394,0,0,0,0,2,0.000000,0.931984,0.000000,0.000000,1.060693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-126,1,41.2694,1710.4256,0,2,0,0,2,0.000000,19.060515,0.000000,0.000000,0.962922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-127,3,8.3150,1710.4256,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-128,1,17.8912,650.1094,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-129,1,7.3469,650.1094,0,1,0,0,0,0.000000,1.492066,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-13,1,6.2806,1710.4256,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-130,1,9.6200,259.0394,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-131,2,5.1581,650.1094,0,0,0,0,0,0.000000,0.157060,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-132,2,12.0938,650.1094,0,1,0,0,1,0.000000,1.504413,0.000000,0.000000,0.314266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-133,2,2.5144,1710.4256,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
