seg_id,arc_id,from_node,to_node,wtr_id,strahler,length_km,geom_length_m,area_km2,catch_id,carea_km2,on_main_stem
S-01,3,1,6,W-23,1,2.96206890143,2962.1,1710.425625,C-01,12.221875,False
S-02,4,2,7,W-23,1,2.22316017178,2223.2,1710.425625,C-02,10.28625,False
S-03,2,3,6,W-23,1,1.9956475452,1995.6,1710.425625,C-03,8.130625,False
S-04,1,4,5,W-23,1,0.711764068712,711.8,1710.425625,C-04,5.649375,False
S-05,8,5,9,W-23,2,4.69913780286,4699.1,1710.425625,C-05,8.704375,False
S-06,7,6,9,W-23,2,1.53461940777,1534.6,1710.425625,C-06,1.065625,False
S-07,5,7,5,W-23,2,2.55208152802,2552.1,1710.425625,C-07,3.8275,False
S-08,6,8,7,W-23,1,1.26176406871,1261.8,1710.425625,C-08,8.0425,False
S-09,10,9,11,W-23,3,2.20385822331,2203.9,1710.425625,C-09,2.916875,False
S-10,18,12,21,W-23,1,18.8173250225,18817.3,1710.425625,C-10,59.823125,False
S-100,108,99,131,W-11,1,5.06310966544,5063.1,650.109375,C-100,10.83375,False
S-101,104,100,126,W-23,3,3.89484848098,3894.8,1710.425625,C-101,14.083125,False
S-102,103,101,124,W-15,1,4.5150387771,4515.0,259.039375,C-102,15.866875,False
S-103,87,105,104,W-23,1,0.509987373415,510.0,1710.425625,C-103,6.6325,False
S-104,99,102,121,W-11,2,2.82708152802,2827.1,650.109375,C-104,3.616875,False
S-105,123,104,145,W-23,2,6.91053390593,6910.5,1710.425625,C-105,16.223125,False
S-106,112,106,133,W-23,1,5.39950576851,5399.5,1710.425625,C-106,10.3325,False
S-107,90,107,109,W-11,1,1.06871843354,1068.7,650.109375,C-107,6.6575,False
S-108,96,109,116,W-11,2,1.51139610307,1511.4,650.109375,C-108,0.76625,False
S-109,107,110,131,W-11,1,3.8604446225,3860.4,650.109375,C-109,10.445625,False
S-11,9,10,11,W-23,1,0.456586399182,456.6,1710.425625,C-11,7.595,False
S-110,120,111,142,W-21,3,6.86659992311,6866.6,737.116875,C-110,20.998125,False
S-111,125,112,146,W-23,1,5.50143488017,5501.4,1710.425625,C-111,13.54375,False
S-112,110,113,132,W-11,1,3.28470869121,3284.7,650.109375,C-112,7.68,False
S-113,102,114,124,W-15,1,0.789276695297,789.3,259.039375,C-113,5.67375,False
S-114,128,115,151,W-23,3,5.51954364826,5519.5,1710.425625,C-114,13.360625,False
S-115,109,116,132,W-11,2,2.89705627485,2897.1,650.109375,C-115,6.35375,False
S-116,111,117,133,W-23,1,2.5420941546,2542.1,1710.425625,C-116,10.905,False
S-117,97,118,119,W-07,1,0.278921356237,278.9,314.00125,C-117,8.29625,False
S-118,113,119,134,W-07,2,2.56317279836,2563.2,314.00125,C-118,8.063125,False
S-119,114,120,134,W-07,1,3.98915042945,3989.2,314.00125,C-119,18.281875,False
S-12,12,11,14,W-23,3,2.38063491861,2380.6,1710.425625,C-12,3.204375,False
S-120,303,103,349,W-24,2,35.1032268941,35103.2,457.114375,C-120,59.384375,False
S-121,100,123,121,W-11,2,1.15533008589,1155.3,650.109375,C-121,2.146875,False
S-122,118,121,137,W-11,3,3.73847763109,3738.5,650.109375,C-122,6.668125,False
S-123,101,122,123,W-11,1,0.518566017178,518.6,650.109375,C-123,6.11125,False
