campaign,season,nominal_period,station,lat,lon,lat_dms,lon_dms,coord_valid,altitude_m,date,time
C1,summer,2017-08,1,41.791861,27.277194,"41°47'30.7""","27°16'37.9""",True,233,09.08.2017,18:04:00
C1,summer,2017-08,2,41.090139,27.469056,"41°05'24.5""","27°28'08.6""",True,118,08.08.2017,16:02:00
C1,summer,2017-08,3,41.040417,26.355944,"41°02'25.5""","26°21'21.4""",True,12,10.08.2017,15:05:00
C1,summer,2017-08,4,41.163667,27.493250,"41°09'49.2""","27°29'35.7""",True,87,08.08.2017,18:02:00
C1,summer,2017-08,5,41.195167,27.476889,"41°11'42.6""","27°28'36.8""",True,67,08.08.2017,18:33:00
C1,summer,2017-08,6,41.261917,27.548111,"41°15'42.9""","27°32'53.2""",True,83,09.08.2017,08:13:00
C1,summer,2017-08,7,41.294139,27.467556,"41°17'38.9""","27°28'03.2""",True,57,09.08.2017,12:00:00
C1,summer,2017-08,8,41.342806,27.456889,"41°20'34.1""","27°27'24.8""",True,57,09.08.2017,13:05:00
C1,summer,2017-08,9,41.357528,27.387417,"41°21'27.1""","27°23'14.7""",True,41,09.08.2017,14:20:00
C1,summer,2017-08,10,41.351722,27.319861,"41°21'06.2""","27°19'11.5""",True,44,11.08.2017,10:45:00
C1,summer,2017-08,11,41.340306,27.267639,"41°20'25.1""","27°16'03.5""",True,44,11.08.2017,10:11:00
C1,summer,2017-08,12,41.369889,27.176000,"41°22'11.6""","27°10'33.6""",True,42,11.08.2017,08:55:00
C1,summer,2017-08,13,41.352417,27.160306,"41°21'08.7""","27°09'37.1""",True,22,11.08.2017,09:32:00
C1,summer,2017-08,14,41.367750,27.140111,"41°22'03.9""","27°08'24.4""",True,42,11.08.2017,09:10:00
C1,summer,2017-08,15,41.350472,27.109278,"41°21'01.7""","27°06'33.4""",True,41,11.08.2017,08:25:00
C1,summer,2017-08,16,41.340944,27.082306,"41°20'27.4""","27°04'56.3""",True,39,11.08.2017,08:10:00
C1,summer,2017-08,17,41.078139,27.076528,"41°04'41.3""","27°04'35.5""",True,31,10.08.2017,20:51:00
C1,summer,2017-08,18,41.364694,27.061806,"41°21'52.9""","27°03'42.5""",True,38,10.08.2017,20:35:00
C1,summer,2017-08,19,41.406500,26.928944,"41°24'23.4""","26°55'44.2""",True,37,09.08.2017,19:35:00
C1,summer,2017-08,20,41.382472,26.911861,"41°22'56.9""","26°54'42.7""",True,34,09.08.2017,19:53:00
C1,summer,2017-08,21,41.348583,26.886417,"41°20'54.9""","26°53'11.1""",True,22,10.08.2017,09:30:00
C1,summer,2017-08,22,41.308583,26.789778,"41°18'30.9""","26°47'23.2""",True,18,10.08.2017,10:35:00
C1,summer,2017-08,23,41.275194,26.681833,"41°16'30.7""","26°40'54.6""",True,12,10.08.2017,11:40:00
C1,summer,2017-08,24,41.250639,26.644944,"41°15'02.3""","26°38'41.8""",True,12,10.08.2017,12:16:00
C1,summer,2017-08,25,41.206639,26.607944,"41°12'23.9""","26°36'28.6""",True,11,10.08.2017,13:10:00
C1,summer,2017-08,26,41.085861,26.547278,"41°05'09.1""","26°32'50.2""",True,21,10.08.2017,13:55:00
C1,summer,2017-08,27,41.195194,27.465750,"41°11'42.7""","27°27'56.7""",True,70,08.08.2017,18:52:00
C1,summer,2017-08,28,41.203139,27.476972,"41°12'11.3""","27°28'37.1""",True,68,08.08.2017,19:17:00
C1,summer,2017-08,29,41.254444,27.453083,"41°15'16.0""","27°27'11.1""",True,56,09.08.2017,11:34:00
C1,summer,2017-08,30,41.305194,27.444778,"41°18'18.7""","27°26'41.2""",True,64,09.08.2017,12:20:00
C1,summer,2017-08,31,41.348639,27.393194,"41°20'55.1""","27°23'35.5""",True,49,09.08.2017,14:05:00
C1,summer,2017-08,32,41.363444,27.326778,"41°21'48.4""","27°19'36.4""",True,43,11.08.2017,10:57:00
C1,summer,2017-08,33,41.347917,27.287861,"41°20'52.5""","27°17'16.3""",True,45,11.08.2017,10:32:00
C1,summer,2017-08,34,41.361306,27.224750,"41°21'40.7""","27°13'29.1""",True,33,11.08.2017,10:00:00
C1,summer,2017-08,35,41.353500,27.080111,"41°21'12.6""","27°04'48.4""",True,46,11.08.2017,07:47:00
C1,summer,2017-08,36,41.342361,27.038889,"41°20'32.5""","27°02'20.0""",True,32,10.08.2017,20:20:00
C1,summer,2017-08,37,41.336083,26.922472,"41°20'09.9""","26°55'20.9""",True,28,09.08.2017,20:17:00
C1,summer,2017-08,38,41.324333,26.829222,"41°19'27.6""","26°49'45.2""",True,18,10.08.2017,10:06:00
C1,summer,2017-08,39,41.284833,26.698778,"41°17'05.4""","26°41'55.6""",True,24,10.08.2017,11:15:00
C1,summer,2017-08,40,41.246833,26.618500,"41°14'48.6""","26°37'06.6""",True,18,10.08.2017,12:45:00
C1,summer,2017-08,41,41.785917,27.129278,"41°47'09.3""","27°07'45.4""",True,244,09.08.2017,20:17:00
C1,summer,2017-08,42,41.142472,27.599139,"41°08'32.9""","27°35'56.9""",True,89,08.08.2017,15:05:00
C1,summer,2017-08,43,41.346639,27.831528,"41°20'47.9""","27°49'53.5""",True,111,08.08.2017,08:17:00
C1,summer,2017-08,44,41.060139,27.338778,"41°03'36.5""","27°20'19.6""",True,111,08.08.2017,17:05:00
C1,summer,2017-08,45,41.276667,27.019333,"41°16'36.0""","27°01'09.6""",True,100,10.08.2017,19:52:00
C1,summer,2017-08,46,41.352000,27.351639,"41°21'07.2""","27°21'05.9""",True,48,11.08.2017,11:15:00
C1,summer,2017-08,47,41.683167,27.198083,"41°40'59.4""","27°11'53.1""",True,166,09.08.2017,16:37:00
C1,summer,2017-08,48,41.171389,27.794889,"41°10'17.0""","27°47'41.6""",True,120,08.08.2017,12:30:00
C1,summer,2017-08,49,41.181472,27.813306,"41°10'53.3""","27°48'47.9""",True,136,08.08.2017,11:49:00
C1,summer,2017-08,50,41.207444,27.864111,"41°12'26.8""","27°51'50.8""",True,150,08.08.2017,10:45:00
C1,summer,2017-08,51,41.293417,27.944222,"41°17'36.3""","27°56'39.2""",True,154,08.08.2017,09:09:00
C1,summer,2017-08,52,41.238583,27.869722,"41°14'18.9""","27°52'11.0""",True,130,08.08.2017,09:55:00
C1,summer,2017-08,53,41.202528,27.821250,"41°12'09.1""","27°49'16.5""",True,119,08.08.2017,10:19:00
C1,summer,2017-08,54,41.229583,27.643250,"41°13'46.5""","27°38'35.7""",True,83,08.08.2017,14:28:00
C1,summer,2017-08,55,41.264194,27.639056,"41°15'51.1""","27°38'20.6""",True,107,09.08.2017,09:06:00
C1,summer,2017-08,56,41.216750,27.526333,"41°13'00.3""","27°31'34.8""",True,76,09.08.2017,07:52:00
C1,summer,2017-08,57,41.277111,27.582556,"41°16'37.6""","27°34'57.2""",True,101,09.08.2017,08:34:00
C1,summer,2017-08,58,41.292639,27.503444,"41°17'33.5""","27°30'12.4""",True,55,09.08.2017,10:50:00
C1,summer,2017-08,59,41.428694,27.367306,"41°25'43.3""","27°22'02.3""",True,62,09.08.2017,15:00:00
C1,summer,2017-08,60,41.255917,27.117361,"41°15'21.3""","27°07'02.5""",True,44,10.08.2017,19:25:00
C1,summer,2017-08,61,40.921417,26.925944,"40°55'17.1""","26°55'33.4""",True,129,10.08.2017,17:12:00
C1,summer,2017-08,62,41.176361,27.764528,"41°10'34.9""","27°45'52.3""",True,115,08.08.2017,13:01:00
C1,summer,2017-08,63,41.242194,27.684361,"41°14'31.9""","27°41'03.7""",True,91,08.08.2017,13:58:00
C1,summer,2017-08,64,41.273167,27.964639,"41°16'23.4""","27°57'52.7""",True,142,08.08.2017,09:30:00
C1,summer,2017-08,65,41.341167,27.695056,"41°20'28.2""","27°41'42.2""",True,85,09.08.2017,09:47:00
C1,summer,2017-08,66,41.335722,27.474111,"41°20'08.6""","27°28'26.8""",True,69,09.08.2017,12:45:00
C1,summer,2017-08,67,41.454389,27.045389,"41°27'15.8""","27°02'43.4""",True,63,09.08.2017,16:00:00
C1,summer,2017-08,68,41.418222,27.219556,"41°25'05.6""","27°13'10.4""",True,53,09.08.2017,14:30:00
C1,summer,2017-08,69,41.305611,27.521750,"41°18'20.2""","27°31'18.3""",True,69,09.08.2017,10:23:00
C1,summer,2017-08,70,41.211861,27.889083,"41°12'42.7""","27°53'20.7""",True,159,08.08.2017,10:20:00
C1,summer,2017-08,71,41.256694,27.735667,"41°15'24.1""","27°44'08.4""",True,106,08.08.2017,13:32:00
C1,summer,2017-08,72,41.129583,26.480056,"41°07'46.5""","26°28'48.2""",True,19,10.08.2017,14:20:00
C1,summer,2017-08,73,41.091944,27.086667,"41°05'31.0""","27°05'12.0""",True,69,10.08.2017,18:35:00
C1,summer,2017-08,74,40.948472,26.931000,"40°56'54.5""","26°55'51.6""",True,102,10.08.2017,17:45:00
C1,summer,2017-08,75,41.130028,27.772972,"41°07'48.1""","27°46'22.7""",True,95,08.08.2017,07:50:00
C2,autumn,2017-11,1,41.791861,27.277194,"41°47'30.7""","27°16'37.9""",True,233,14.11.2017,15:38:00
C2,autumn,2017-11,2,42.023750,27.470444,"41°61'25.5""","27°28'13.6""",False,118,16.11.2017,14:35:00
C2,autumn,2017-11,3,41.040417,26.355944,"41°02'25.5""","26°21'21.4""",True,12,15.11.2017,14:36:00
C2,autumn,2017-11,4,41.163667,27.493250,"41°09'49.2""","27°29'35.7""",True,87,13.11.2017,19:11:00
C2,autumn,2017-11,5,41.195167,27.476889,"41°11'42.6""","27°28'36.8""",True,67,13.11.2017,19:45:00
C2,autumn,2017-11,6,41.261917,27.548111,"41°15'42.9""","27°32'53.2""",True,83,14.11.2017,09:12:00
C2,autumn,2017-11,7,41.294139,27.467556,"41°17'38.9""","27°28'03.2""",True,57,14.11.2017,11:26:00
C2,autumn,2017-11,8,41.342806,27.456889,"41°20'34.1""","27°27'24.8""",True,37,14.11.2017,12:21:00
C2,autumn,2017-11,9,41.357528,27.387417,"41°21'27.1""","27°23'14.7""",True,41,14.11.2017,12:51:00
C2,autumn,2017-11,10,41.351722,27.319861,"41°21'06.2""","27°19'11.5""",True,44,16.11.2017,10:50:00
C2,autumn,2017-11,11,41.340306,27.267639,"41°20'25.1""","27°16'03.5""",True,44,16.11.2017,10:30:00
C2,autumn,2017-11,12,41.369889,27.176000,"41°22'11.6""","27°10'33.6""",True,42,16.11.2017,09:00:00
C2,autumn,2017-11,13,41.352417,27.160306,"41°21'08.7""","27°09'37.1""",True,22,16.11.2017,10:00:00
C2,autumn,2017-11,14,41.367750,27.140111,"41°22'03.9""","27°08'24.4""",True,42,16.11.2017,08:46:00
C2,autumn,2017-11,15,41.350472,27.109278,"41°21'01.7""","27°06'33.4""",True,41,16.11.2017,08:34:00
C2,autumn,2017-11,16,41.340944,27.082306,"41°20'27.4""","27°04'56.3""",True,39,15.11.2017,08:10:00
C2,autumn,2017-11,17,41.078139,27.076528,"41°04'41.3""","27°04'35.5""",True,31,16.11.2017,07:38:00
