station,lat,lon,x_3035,y_3035,seg_id,arc_id,from_node,to_node,strahler,catch_id,carea_km2,on_main_stem,snap_dist_m,pos_along_seg_m,seg_length_m,snap_ok
1,41.791861,27.277194,5748276.7,2241009.3,S-54,119,55,142,2,C-54,51.9963,False,78.5,10145.6,16564.3,True
2,41.090139,27.469056,5780331.3,2168550.3,S-752,795,801,741,1,C-752,17.4325,False,13.4,7237.0,8031.6,True
3,41.040417,26.355944,5690146.6,2142263.3,S-974,963,964,967,1,C-974,5.8675,False,2222.1,0.0,538.4,False
4,41.163667,27.493250,5780584.0,2176993.9,S-687,688,690,683,3,C-687,20.2338,False,24.7,7438.3,8095.2,True
5,41.195167,27.476889,5778506.9,2180093.6,S-616,648,613,649,4,C-616,20.6663,True,43.7,14551.4,15388.1,True
6,41.261917,27.548111,5782750.1,2188713.8,S-560,612,556,620,1,C-560,29.2544,False,77.3,5336.8,11200.1,True
7,41.294139,27.467556,5775419.3,2190648.5,S-565,570,555,583,4,C-565,12.9606,False,109.0,3186.2,6836.3,True
8,41.342806,27.456889,5773405.5,2195721.7,S-503,489,503,520,3,C-503,4.8044,False,11.5,1028.8,1944.2,True
9,41.357528,27.387417,5767397.5,2195981.1,S-361,472,361,507,1,C-361,27.2744,False,68.2,15952.8,16193.0,True
10,41.351722,27.319861,5762025.8,2194055.4,S-456,504,456,531,4,C-456,19.5787,False,63.3,9101.5,9665.1,True
11,41.340306,27.267639,5758032.8,2191818.3,S-539,546,565,533,3,C-539,7.3006,False,36.1,1204.1,4827.4,True
12,41.369889,27.176000,5749872.5,2193284.7,S-385,531,383,554,3,C-385,47.0881,False,136.4,17974.3,19794.9,True
13,41.352417,27.160306,5748996.4,2191090.3,S-584,606,618,561,3,C-584,33.8100,False,61.3,10623.0,11069.3,True
14,41.367750,27.140111,5746994.8,2192371.9,S-347,534,350,557,2,C-347,48.3306,False,32.3,22779.0,23820.5,True
15,41.350472,27.109278,5744877.9,2189912.6,S-578,650,657,560,1,C-578,49.0319,False,24.6,17904.0,19741.6,True
16,41.340944,27.082306,5742896.1,2188368.5,S-594,594,606,593,4,C-594,1.7281,False,185.6,2253.1,3061.0,True
17,41.078139,27.076528,5748458.6,2159728.7,S-824,820,826,820,1,C-824,7.5812,False,33.8,205.2,762.7,True
18,41.364694,27.061806,5740677.0,2190560.2,S-577,585,569,600,4,C-577,5.5219,False,61.6,100.3,4887.0,True
19,41.406500,26.928944,5728880.0,2192604.7,S-522,553,522,570,4,C-522,12.6256,False,42.2,2667.1,5250.9,True
20,41.382472,26.911861,5728034.1,2189675.7,S-564,564,548,578,3,C-564,22.5306,False,63.2,8544.6,10852.6,True
21,41.348583,26.886417,5726728.5,2185519.6,S-591,609,564,619,3,C-591,34.3294,False,66.0,12084.7,13151.4,True
22,41.308583,26.789778,5719739.7,2179375.0,S-656,660,667,647,3,C-656,3.9613,False,116.5,1037.6,2691.0,True
23,41.275194,26.681833,5711663.9,2173748.4,S-714,726,706,730,5,C-714,17.2638,True,1.4,180.5,5961.3,True
24,41.250639,26.644944,5709195.5,2170399.8,S-760,772,774,730,1,C-760,34.4862,False,190.2,13087.9,14143.2,True
25,41.206639,26.607944,5707149.3,2164937.1,S-775,791,797,767,2,C-775,28.6656,False,458.5,7214.1,9245.5,True
26,41.085861,26.547278,5704864.1,2150696.5,S-865,902,864,907,3,C-865,36.6469,False,159.0,11511.4,13210.7,True
27,41.195194,27.465750,5777596.2,2179881.0,S-664,652,659,649,4,C-664,0.7231,False,24.7,293.0,1332.1,True
28,41.203139,27.476972,5778326.4,2180959.9,S-623,642,649,620,5,C-623,12.6225,True,42.5,753.6,5223.1,True
29,41.254444,27.453083,5775170.8,2186063.1,S-619,607,617,602,5,C-619,9.7513,True,77.0,5880.8,7505.5,True
30,41.305194,27.444778,5773301.7,2191408.0,S-549,569,583,545,5,C-549,15.6888,True,67.3,3569.5,5379.5,True
31,41.348639,27.393194,5768076.6,2195127.7,S-516,494,521,515,5,C-516,14.7631,True,116.1,3625.6,5405.2,True
32,41.363444,27.326778,5762316.2,2195459.8,S-456,504,456,531,4,C-456,19.5787,False,139.1,7403.7,9665.1,True
33,41.347917,27.287861,5759505.0,2193030.5,S-540,518,544,537,1,C-540,6.3019,False,60.4,616.4,928.2,True
34,41.361306,27.224750,5754047.0,2193279.8,S-526,503,529,530,5,C-526,8.7125,True,327.6,2643.5,3074.6,True
35,41.353500,27.080111,5742428.1,2189690.2,S-568,575,563,589,5,C-568,3.3081,True,90.6,1913.0,3317.5,True
36,41.342361,27.038889,5739319.6,2187703.4,S-597,581,592,597,1,C-597,6.4669,False,144.8,365.2,541.9,True
37,41.336083,26.922472,5729957.7,2184835.9,S-614,610,609,619,5,C-614,19.2288,True,601.6,3233.7,7015.6,False
38,41.324333,26.829222,5722606.9,2181819.3,S-645,641,637,647,5,C-645,14.3400,True,8.8,521.6,5116.3,True
39,41.284833,26.698778,5712833.6,2175108.8,S-706,705,694,706,5,C-706,4.5225,True,53.1,470.5,2113.5,True
40,41.246833,26.618500,5707115.7,2169499.3,S-742,747,731,752,1,C-742,6.9906,False,71.8,1540.7,2912.8,True
41,41.785917,27.129278,5736436.1,2237566.9,S-101,104,100,126,3,C-101,14.0831,False,439.8,3873.1,3894.8,True
42,41.142472,27.599139,5789738.5,2176753.9,S-696,685,686,679,3,C-696,3.0206,False,82.5,85.4,2810.7,True
43,41.346639,27.831528,5803829.5,2203442.9,S-412,412,413,455,4,C-412,17.8900,True,33.0,2338.1,5332.0,True
44,41.060139,27.338778,5770364.7,2162781.3,S-797,801,808,789,2,C-797,24.1844,False,67.8,2872.2,8003.0,True
45,41.276667,27.019333,5739228.5,2180202.0,S-649,694,696,689,1,C-649,86.1850,False,115.6,9453.5,33020.0,True
46,41.352000,27.351639,5764610.2,2194694.5,S-511,506,509,532,5,C-511,11.2181,True,22.7,1548.4,4650.6,True
47,41.683167,27.198083,5744400.8,2227710.5,S-194,187,195,215,2,C-194,3.5819,False,86.7,414.1,2612.4,True
48,41.171389,27.794889,5805041.3,2183726.4,S-630,619,626,624,2,C-630,3.5438,False,48.4,432.8,2478.9,True
49,41.181472,27.813306,5806303.5,2185182.3,S-575,617,574,626,1,C-575,29.3788,False,55.8,9879.0,11719.8,True
50,41.207444,27.864111,5809826.3,2189000.5,S-575,617,574,626,1,C-575,29.3788,False,11.2,3705.3,11719.8,True
51,41.293417,27.944222,5814285.5,2199903.6,S-425,480,425,512,1,C-425,27.9431,False,84.1,5425.2,10851.2,True
52,41.238583,27.869722,5809536.0,2192486.0,S-545,614,541,624,3,C-545,37.0825,False,78.1,720.0,13859.5,True
53,41.202528,27.821250,5806447.6,2187621.1,S-545,614,541,624,3,C-545,37.0825,False,60.5,9172.2,13859.5,True
54,41.229583,27.643250,5791278.3,2187060.1,S-583,608,581,615,4,C-583,29.2669,True,9.2,4917.0,10826.8,True
55,41.264194,27.639056,5790115.1,2190731.0,S-524,560,523,576,1,C-524,13.2900,False,11.2,5925.5,6627.5,True
56,41.216750,27.526333,5782037.6,2183392.6,S-616,648,613,649,4,C-616,20.6663,True,83.9,6353.7,15388.1,True
57,41.277111,27.582556,5785200.9,2191030.9,S-560,612,556,620,1,C-560,29.2544,False,93.4,1365.7,11200.1,True
58,41.292639,27.503444,5778381.9,2191179.9,S-525,559,524,559,3,C-525,17.5106,False,69.3,11560.6,12011.4,True
59,41.428694,27.367306,5764092.8,2203316.5,S-410,414,412,456,3,C-410,16.5056,False,69.7,2746.3,5530.9,True
60,41.255917,27.117361,5747716.2,2179800.9,S-662,666,672,653,4,C-662,5.8894,False,65.1,2295.6,2947.1,True
61,40.921417,26.925944,5739669.4,2139870.9,S-973,974,977,962,2,C-973,6.9069,False,6.9,635.2,3339.2,True
62,41.176361,27.764528,5802443.9,2183667.4,S-625,628,624,634,3,C-625,8.7419,False,69.7,1755.2,4649.9,True
63,41.242194,27.684361,5794333.1,2189231.0,S-595,583,590,580,1,C-595,18.7838,False,104.4,3816.1,4178.6,True
64,41.273167,27.964639,5816437.4,2198114.8,S-492,463,493,499,3,C-492,1.8606,False,90.1,207.5,1323.5,True
65,41.341167,27.695056,5792849.1,2200170.7,S-467,477,467,510,3,C-467,17.8538,False,104.6,156.1,7454.8,True
66,41.335722,27.474111,5774975.9,2195285.8,S-483,490,485,520,1,C-483,19.4206,False,98.3,6559.0,8809.9,True
67,41.454389,27.045389,5737276.6,2199989.9,S-376,551,375,569,3,C-376,53.8119,False,11.6,10496.2,23098.3,True
68,41.418222,27.219556,5752302.8,2199358.5,S-385,531,383,554,3,C-385,47.0881,False,15.3,9883.8,19794.9,True
69,41.305611,27.521750,5779569.0,2192941.4,S-499,539,500,559,3,C-499,20.4931,False,689.4,6969.4,8976.5,False
70,41.211861,27.889083,5811757.0,2189973.3,S-575,617,574,626,1,C-575,29.3788,False,29.2,339.5,11719.8,True
71,41.256694,27.735667,5798172.3,2191808.4,S-559,549,568,547,2,C-559,6.8475,False,95.9,1886.2,3180.6,True
72,41.129583,26.480056,5698376.0,2154217.3,S-843,891,842,900,5,C-843,10.6006,True,577.2,4163.9,6555.9,False
73,41.091944,27.086667,5748973.1,2161419.4,S-800,815,819,793,4,C-800,10.2881,False,10.6,1125.0,3176.3,True
74,40.948472,26.931000,5739471.3,2142903.7,S-957,956,946,960,2,C-957,11.6444,False,247.4,3935.5,5255.9,True
75,41.130028,27.772972,5804239.3,2178811.6,S-630,619,626,624,2,C-630,3.5438,False,4576.0,1327.8,2478.9,False
