analyte,group,cas,pubchem_cid,chebi_id,smiles,ecosar_class,n_use_categories,use_categories
"1,2,3-Benzotriazole",micropollutant,95-14-7,7220,,c1ccc2nnnc2c1,Benzotriazoles,0,
"1,2,5,6,9,10-Hexabromocyclododecane",micropollutant,3194-55-6,18529,OBO,BrC(C(Br)CCC(Br)C(Br)CCC(Br)C(Br)C1)C1,Neutral Organics,2,cpdat:Flame retardant | cpdat:Flame retardants
"1,3-Dinitropyrene",micropollutant,75321-20-9,53230,OBO,O=N(=O)c4c2c3c(c(c4)N(=O)=O)ccc1c3c(ccc1)cc2,Polynitrobenzenes,1,"mesh:1,3-dinitropyrene"
"1,6-Dinitropyrene",micropollutant,42397-64-8,39184,OBO,O=N(=O)c1ccc2ccc3c(ccc4ccc1c2c34)N(=O)=O,Neutral Organics,1,"mesh:1,6-dinitropyrene"
"1,8-Dinitropyrene",micropollutant,42397-65-9,39185,OBO,O=N(=O)c1ccc2ccc3ccc(N(=O)=O)c4ccc1c2c34,Neutral Organics,1,"mesh:1,8-dinitropyrene"
1-Hydroxyibuprofen,micropollutant,53949-53-4,45117195,OBO,CC(C)C(c1ccc(cc1)C(C)C(=O)O)O,Benzyl Alcohols,0,
17-alpha-Estradiol,micropollutant,50-28-2,5757,OBO,CC34CCC1C(CCc2cc(O)ccc12)C3CCC4O,Phenols,7,cpdat:Coatings | cpdat:Feminine hygiene | cpdat:Laboratory supplies | cpdat:Softener and conditioner | mesh:Aerodiol | mesh:Estrace | mesh:Vivelle
17-alpha-Ethinylestradiol,micropollutant,57-63-6,5991,OBO,OC(C#C)(C(C(C(C(c(c(cc(O)c1)C2)c1)C3)C2)C4)(C3)C)C4,Phenols,5,cpdat:Pharmaceuticals | cpdat:Softener and conditioner | mesh:Estinyl | mesh:Lynoral | mesh:Progynon C
17-beta-Estradiol,micropollutant,50-28-2,5757,OBO,CC34CCC1C(CCc2cc(O)ccc12)C3CCC4O,Phenols,7,cpdat:Coatings | cpdat:Feminine hygiene | cpdat:Laboratory supplies | cpdat:Softener and conditioner | mesh:Aerodiol | mesh:Estrace | mesh:Vivelle
"2,2',3,3',4,4',5,5',6,6'-Decabromodiphenyl ether",micropollutant,1163-19-5,14410,OBO,O(c(c(c(c(c1Br)Br)Br)Br)c1Br)c(c(c(c(c2Br)Br)Br)Br)c2Br,Neutral Organics,8,cpdat:Coatings | cpdat:Construction adhesives | cpdat:Electrical insulation | cpdat:Flame retardant | cpdat:Flame retardants | cpdat:Heat stabilizer | cpdat:Manufacturing Components | cpdat:Paint/stain and related products
"2,2',3,3',4,4',5,5',6-Nonabromodiphenyl ether",micropollutant,63936-56-1,45472,,BrC2(C(OC1(=C(Br)C(Br)=C(Br)C(Br)=C1))=C(Br)C(Br)=C(Br)C=2Br),Neutral Organics,1,cpdat:Flame retardant
"2,2',3,4,4',5',6-Heptabromodiphenyl ether",micropollutant,207122-16-5,15509899,OBO,BrC1=C(OC2=CC(Br)=C(Br)C=C2Br)C(Br)=C(Br)C(Br)=C1,Neutral Organics,2,"cpdat:Flame retardant | mesh:2,2',3,4,4',5',6-heptabromodiphenyl ether"
"2,2',3,4,4',5,5',6-Octabromodiphenyl ether",micropollutant,32536-52-0,6537506,,Brc1c(c(c(c(c1Br)Br)Br)Br)Oc2cc(c(cc2Br)Br)Br,Neutral Organics,1,cpdat:Flame retardant
