scope,key,eu_outcome,tr_outcome,n
total,rows_read,,,6450192
total,rows_river,,,4190833
total,rows_scored,,,1488677
total,rows_co_regulated,,,325011
total,co_regulated_differ,,,51902
jurisdiction,EU,Compliant,,409377
jurisdiction,EU,Exceeding,,13428
jurisdiction,EU,PossibleExceedance,,5922
jurisdiction,EU,MethodInsufficient,,122482
jurisdiction,EU,PreconditionUnmet,,51499
jurisdiction,EU,NoThresholdDefined,,694143
jurisdiction,EU,BoundNotEstablished,,191826
jurisdiction,TR,Compliant,,855110
jurisdiction,TR,Exceeding,,35297
jurisdiction,TR,PossibleExceedance,,21176
jurisdiction,TR,MethodInsufficient,,80691
jurisdiction,TR,PreconditionUnmet,,0
jurisdiction,TR,NoThresholdDefined,,304577
jurisdiction,TR,BoundNotEstablished,,191826
cross,,NoThresholdDefined,Compliant,584728
cross,,Compliant,Compliant,222010
cross,,BoundNotEstablished,BoundNotEstablished,191826
cross,,Compliant,NoThresholdDefined,186574
cross,,NoThresholdDefined,MethodInsufficient,59799
cross,,MethodInsufficient,NoThresholdDefined,58214
cross,,PreconditionUnmet,NoThresholdDefined,51499
cross,,MethodInsufficient,Compliant,44131
cross,,NoThresholdDefined,Exceeding,31633
cross,,MethodInsufficient,MethodInsufficient,20137
cross,,NoThresholdDefined,PossibleExceedance,17983
cross,,Exceeding,NoThresholdDefined,4339
cross,,PossibleExceedance,NoThresholdDefined,3951
cross,,Exceeding,Exceeding,3658
cross,,Exceeding,PossibleExceedance,2731
cross,,Exceeding,Compliant,2700
cross,,PossibleExceedance,Compliant,1541
cross,,Compliant,MethodInsufficient,755
cross,,PossibleExceedance,PossibleExceedance,424
cross,,Compliant,PossibleExceedance,38
cross,,PossibleExceedance,Exceeding,6
cross_co_regulated,,Compliant,Compliant,222010
cross_co_regulated,,MethodInsufficient,Compliant,44131
cross_co_regulated,,BoundNotEstablished,BoundNotEstablished,26880
cross_co_regulated,,MethodInsufficient,MethodInsufficient,20137
cross_co_regulated,,Exceeding,Exceeding,3658
cross_co_regulated,,Exceeding,PossibleExceedance,2731
cross_co_regulated,,Exceeding,Compliant,2700
cross_co_regulated,,PossibleExceedance,Compliant,1541
cross_co_regulated,,Compliant,MethodInsufficient,755
cross_co_regulated,,PossibleExceedance,PossibleExceedance,424
cross_co_regulated,,Compliant,PossibleExceedance,38
cross_co_regulated,,PossibleExceedance,Exceeding,6
substance,2921-88-2|Chlorpyrifos,,,21566
substance,206-44-0|Fluoranthene,,,11703
substance,330-54-1|Diuron,,,5351
substance,7440-22-4|Silver,,,3078
substance,52645-53-1|Permethrin-cis+trans,,,2608
substance,80-05-7|Bisphenol A,,,2265
substance,111988-49-9|Thiacloprid,,,1836
substance,111991-09-4|Nicosulfuron,,,1173
substance,210880-92-5|Clothianidin,,,1017
substance,"50-29-3|DDT, p,p'",,,799
substance,3380-34-5|Triclosan,,,356
substance,153719-23-4|Thiamethoxam,,,132
substance,79-01-6|Trichloroethylene,,,15
substance,15307-79-6|Diclofenac sodium,,,3
substance,120-12-7|Anthracene,,,0
substance,71-43-2|Benzene,,,0
substance,34123-59-6|Isoproturon,,,0
substance,91-20-3|Naphthalene,,,0
substance,87-86-5|Pentachlorophenol,,,0
substance,886-50-0|Terbutryn,,,0
substance,608-73-1|Hexachlorocyclohexane,,,0
substance,115-29-7|Endosulfan,,,0
substance,124495-18-7|Quinoxyfen,,,0
substance,28159-98-0|Cybutryne,,,0
substance,42576-02-3|Bifenox,,,0
substance,74070-46-5|Aclonifen,,,0
