no,name_tr,cas,aa_river,mac_river,aa_coastal,mac_coastal,asterisk_unexplained
26,Alüminyum,7429-90-5,2.2,27.0,2.2,22.0,True
27,Antimon,7440-36-0,7.8,103.0,4.5,45.0,True
28,Arsenik,7440-38-2,53.0,53.0,10.0,20.0,True
29,Asenaften,83-32-9,6.0,66.0,6.0,66.0,False
31,Azinfos-metil,86-50-0,0.05,0.4,0.05,0.4,False
32,Bakır,7440-50-8,1.6,3.1,1.3,5.7,True
33,Baryum,7440-39-3,680.0,680.0,680.0,680.0,False
34,Benzil benzoat,120-51-4,1000.0,10000.0,1000.0,10000.0,False
35,Benzilbutilfitalat (BBP),85-68-7,2.7,44.0,2.7,27.0,False
36,Benzo(a)floren,238-84-6,0.1,1.0,0.1,1.0,False
37,Benzo(e)piren,192-97-2,0.6,0.6,0.05,0.05,False
38,Berilyum,7440-41-7,2.5,3.9,2.5,3.9,False
39,Bifenil,92-52-4,46.0,87.0,46.0,87.0,False
41,Bisfenol-A,80-05-7,6.5,252.0,6.5,65.0,False
42,Bor,7440-42-8,707.0,1472.0,707.0,1472.0,True
43,Bromür,7726-95-6,31.0,46.0,31.0,46.0,False
44,Çinko,7440-66-6,5.9,231.0,5.33,76.0,True
45,DDT (toplam),50-29-3,0.01,0.65,0.01,0.1,False
47,Demeton,8065-48-3,20.0,20.0,20.0,20.0,False
48,Demir,7439-89-6,36.0,101.0,36.0,101.0,True
49,Diazinon,333-41-5,0.9,4.0,0.9,4.0,False
50,Dibutilfitalat (DBP),84-74-2,16.0,96.0,1.5,96.0,False
51,Dibutilkalay oksit,818-08-6,4.0,67.0,4.0,40.0,False
52,Dieldrin,60-57-1,0.02,0.93,0.02,0.93,False
53,Dietil Fitalat,84-66-2,72.0,1920.0,72.0,1920.0,False
54,Difenil eter; difenil oksit,101-84-8,6.0,60.0,1.0,60.0,False
55,Difenilamin,122-39-4,37.0,100.0,44.0,440.0,False
56,Diizobütil adipat,141-04-8,8.7,9.0,11.0,11.0,False
57,Diklofenak,15307-79-6,100.0,100.0,100.0,100.0,False
58,Dioktil fitalat (DnOP),117-84-0,1680.0,16800.0,1680.0,16800.0,False
59,EDTA,60-00-4,39.0,39.0,39.0,39.0,False
62,Fenantren,85-01-8,1.4,11.2,1.4,11.2,False
64,Fentiyon,55-38-9,0.05,1.1,0.05,1.1,False
65,Floren,86-73-7,3.4,47.0,3.4,47.0,False
66,Gümüş,7440-22-4,1.5,1.5,1.5,1.5,True
67,Izopropilbenzen,98-82-8,35.0,260.0,35.0,260.0,False
69,Kalay,7440-31-5,13.0,13.0,13.0,13.0,True
70,Karbontetraklorür,56-23-5,7.2,130.0,7.2,130.0,False
71,Klofibrik asit,882-09-7,0.3,89.0,0.5,89.0,False
72,Kloroasetik asit,79-11-8,0.5,5.0,0.5,5.0,False
73,Klorotalonil,1897-45-6,0.3,4.2,0.3,2.0,False
74,Kobalt,7440-48-4,0.3,2.6,0.3,2.6,True
75,Krisen,218-01-9,1.9,19.0,1.9,19.0,False
76,Krom,7440-47-3,1.6,142.0,4.2,88.0,True
77,Ksilen (m),108-38-3,24.0,273.0,1.4,273.0,False
78,Ksilen (o),95-47-6,24.0,585.0,1.8,585.0,False
79,Ksilen misk,81-15-2,5.6,56.0,5.6,56.0,False
80,Linuron,330-55-2,3.0,7.0,3.0,7.0,False
83,n-bütilkalay triklorür,1118-46-3,1.2,12.0,1.2,12.0,False
84,Nitrobenzen,98-95-3,187.0,3516.0,187.0,3516.0,False
86,Poliklorlubifeniller (PCB'ler),1336-36-3,0.31,0.37,0.07,0.14,False
94,Perilen,198-55-0,0.6,0.6,0.01,0.03,False
95,Permetrin,52645-53-1,0.12,0.12,0.12,0.12,False
97,Piren,129-00-0,0.1,0.4,0.02,0.4,False
98,Piriproksifen,95737-68-1,0.02,7.5,0.02,7.5,False
100,Propetamfos,31218-83-4,0.05,0.7,1.5,15.0,False
101,Propilbenzen,103-65-1,0.2,1.7,0.2,1.7,False
102,Serbest CN,57-12-5,1.2,6.0,1.2,6.0,False
103,Silisyum,7440-21-3,1830.0,1830.0,610.0,6891.0,False
104,Stiren; Vinilbenzen,100-42-5,6.3,575.0,5.1,575.0,False
105,Sülfametoksazol,723-46-6,5.0,50.0,5.0,50.0,False
107,Tetrabromobisfenol A (TBBP-A),79-94-7,2.0,20.0,2.0,20.0,False
108,Titanyum,7440-32-6,26.0,42.0,26.0,42.0,True
110,Tribromodifenil eter,49690-94-0,1.6,1.6,0.004,0.08,False
111,Tributil fosfat,126-73-8,53.0,326.0,53.0,326.0,False
112,Tridekan,629-50-5,0.05,0.05,0.05,0.05,False
113,Trifenilkalay; Fentin,668-34-8,0.5,0.5,0.5,0.5,False
114,Trikloroetilen (TRI),79-01-6,177.0,8163.0,177.0,8163.0,False
115,Triklosan,3380-34-5,0.12,1.1,0.12,1.1,False
116,Tris(nonilfenil) fosfit,26523-78-4,10.0,10.0,10.0,10.0,False
117,Vanadyum,7440-62-2,1.6,97.0,1.6,16.0,True
122,Asetamiprid,135410-20-7,42.0,42.0,42.0,42.0,False
123,Atrazin-desetil,6190-65-4,0.3,3.0,0.3,3.0,False
124,Azoksistrobin,131860-33-8,0.2,6.0,0.2,6.0,False
125,Bentazon,25057-89-0,4.5,832.0,4.5,832.0,False
127,Boskalid,188425-85-6,19.0,113.0,19.0,113.0,False
128,Bromofos-etil,4824-78-6,0.01,0.1,0.01,0.1,False
129,Bromofos-metil,2104-96-3,0.001,0.1,0.001,0.01,False
130,Bromopropilat,18181-80-1,0.12,23.0,0.12,1.2,False
131,Bromoksinil,1689-84-5,36.0,262.0,0.8,262.0,False
132,Buprofezin,69327-76-0,3.5,3.5,3.5,3.5,False
133,Butralin,33629-47-9,0.1,4.1,0.1,4.1,False
134,Kadusafos,95465-99-9,0.01,0.02,0.01,0.02,False
135,Kaptan,133-06-2,1.6,8.5,1.6,8.5,False
136,Karbaril,63-25-2,9.0,34.0,0.04,34.0,False
137,Karbendazim,10605-21-7,2.7,77.0,2.7,77.0,False
138,Karbofuran,1563-66-2,2.3,2.3,0.05,1.6,False
139,Karboksin; vitavaks,5234-68-4,11.0,11.0,5.0,5.0,False
140,Klorantraniliprol,500008-45-7,0.09,1.4,12.0,12.0,False
141,Klorobenzilat,510-15-6,6.0,60.0,0.8,8.0,False
142,Klordan,57-74-9,42.0,42.0,42.0,42.0,False
143,Klorfenapir,122453-73-0,0.007,0.4,0.007,0.4,False
144,Kloridazon; pirazon,1698-60-8,6.0,6.0,0.01,0.1,False
145,Klorsulfuron,64902-72-3,0.02,0.6,2000.0,2000.0,False
146,Klofentezin,74115-24-5,0.12,0.5,0.025,0.25,False
147,Klopiralid,1702-17-6,200.0,200.0,200.0,200.0,False
148,Klotianidin,210880-92-5,1.2,1.2,1.2,1.2,False
149,Siklanilid,113136-77-9,2.5,10.0,2.5,10.0,False
150,Siflutrin; beta siflutrin,68359-37-5,0.001,0.003,0.001,0.003,False
151,Siprodinil,121552-61-2,4.3,21.0,4.3,21.0,False
152,Siromazin,66215-27-8,0.2,16.0,0.3,3.0,False
154,Diklobenil,1194-65-6,0.6,187.0,74.0,187.0,False
155,Dietofenkarb,87130-20-9,0.7,910.0,0.7,7.0,False
156,Difenokonazol,119446-68-3,0.2,5.5,0.2,5.5,False
157,Diflubenzuron,35367-38-5,0.13,0.13,0.02,0.02,False
158,Diflufenikan,83164-33-4,0.01,0.01,0.01,0.01,False
159,Dimetenamid,87674-68-8,0.4,1.5,0.4,1.5,False
160,Dimetoat,60-51-5,15.0,15.0,15.0,15.0,False
161,Dimetomorf,110488-70-5,3.5,61.0,3.5,61.0,False
162,Dimetilaminosulfanilid,4710-17-2,100.0,9560.0,100.0,1000.0,False
163,Dinobuton,973-21-7,0.05,0.5,0.05,0.5,False
