year,assessable,affirmable,undecidable,undecidable_pct,two_valued_zero,two_valued_half,two_valued_full,n_compliant,n_exceedance,n_possible_exceedance,n_precondition_unmet,n_method_insufficient,n_indeterminate_unresolved,n_indeterminate_other,plotted
1975,12,0,12,100.0,11,11,11,0,0,0,12,0,0,0,no
1976,3,0,3,100.0,2,2,2,0,0,0,3,0,0,0,no
1977,150,0,150,100.0,24,24,24,0,0,0,150,0,0,0,no
1978,192,0,192,100.0,24,24,24,0,0,0,192,0,0,0,no
1979,194,0,194,100.0,34,34,34,0,0,0,194,0,0,0,no
1980,180,0,180,100.0,22,22,22,0,0,0,177,0,3,0,no
1981,59,0,59,100.0,27,27,27,0,0,0,55,0,4,0,no
1982,68,0,68,100.0,23,23,23,0,0,0,65,0,3,0,no
1983,69,0,69,100.0,22,22,22,0,0,0,67,0,2,0,no
1984,64,0,64,100.0,13,13,13,0,0,0,62,0,2,0,no
1985,55,0,55,100.0,17,17,17,0,0,0,52,0,3,0,no
1986,54,0,54,100.0,6,6,6,0,0,0,51,0,3,0,no
1987,46,0,46,100.0,24,24,24,0,0,0,44,0,2,0,no
1988,53,0,53,100.0,13,13,13,0,0,0,50,0,3,0,no
1989,191,0,191,100.0,143,143,143,0,0,0,187,0,4,0,no
1990,246,0,246,100.0,193,193,193,0,0,0,242,0,4,0,no
1991,457,0,457,100.0,309,309,309,0,0,0,399,0,58,0,no
1992,409,0,409,100.0,252,252,252,0,0,0,319,0,90,0,no
1993,475,0,475,100.0,254,254,254,0,0,0,389,0,86,0,no
1994,634,0,634,100.0,354,354,354,0,0,0,546,0,88,0,no
1995,722,0,722,100.0,371,371,371,0,0,0,537,0,185,0,no
1996,861,0,861,100.0,388,388,388,0,0,0,611,0,250,0,no
1997,835,0,835,100.0,346,346,346,0,0,0,583,0,252,0,no
1998,854,0,854,100.0,368,368,368,0,0,0,597,0,257,0,no
1999,2385,0,2385,100.0,745,745,745,0,0,0,1079,0,1306,0,yes
2000,2965,0,2965,100.0,975,975,975,0,0,0,1225,0,1740,0,yes
2001,4221,0,4221,100.0,1259,1259,1263,0,0,0,1742,0,2479,0,yes
2002,4414,0,4414,100.0,1485,1485,1489,0,0,0,2221,0,2193,0,yes
2003,4507,0,4507,100.0,1666,1666,1670,0,0,0,2289,0,2218,0,yes
2004,5086,0,5086,100.0,1919,1919,1923,0,0,0,2975,0,2111,0,yes
2005,6615,41,5733,86.67,2032,2159,2266,841,41,9,2697,157,2870,0,yes
2006,12514,433,6792,54.28,2139,4766,5333,5289,433,239,3762,2341,450,0,yes
2007,29626,997,17960,60.62,5561,11268,12693,10669,997,280,7393,4816,5471,0,yes
2008,25157,542,14527,57.75,3299,9127,10348,10088,542,348,6513,4831,2835,0,yes
2009,36826,544,17623,47.85,3600,10172,11674,18659,544,506,7064,6144,3909,0,yes
2010,40730,925,22894,56.21,5068,12591,14405,16911,925,267,9916,6364,6347,0,yes
2011,49751,686,26107,52.48,4801,13166,15146,22958,686,267,10211,8511,7118,0,yes
2012,58325,759,26493,45.42,3069,13822,17062,31073,759,317,11553,11521,3102,0,yes
2013,10974,377,3661,33.36,783,2386,2963,6936,377,185,1379,2097,0,0,yes
2014,11902,441,3866,32.48,788,2631,3253,7595,441,197,1290,2379,0,0,yes
2015,13045,416,4065,31.16,766,2915,3634,8564,416,208,1073,2784,0,0,yes
2016,15886,497,5857,36.87,1072,3978,4724,9532,497,224,3072,2561,0,0,yes
2017,14183,421,5564,39.23,943,3221,3758,8198,421,160,3272,2132,0,0,yes
2018,25908,951,9884,38.15,2022,5837,6838,15073,951,322,5094,4468,0,0,yes
2019,50130,1282,18676,37.26,2423,12771,14346,30172,1282,492,7507,10677,0,0,yes
2020,42285,927,14123,33.4,1994,8238,10098,27235,927,456,5783,7884,0,0,yes
2021,45022,1148,13975,31.04,2098,8624,10508,29899,1148,453,5536,7986,0,0,yes
2022,59103,1060,16855,28.52,1746,9016,11336,41188,1060,581,6974,9281,19,0,yes
2023,62180,1331,18727,30.12,2471,9753,12457,42122,1331,684,8418,9583,0,42,yes
2024,55545,727,20993,37.79,1287,13555,16561,33825,727,444,5446,15103,0,0,yes
