scope,key,n,quantified,censored,exceedance,possible_exceedance,compliant_quantified,compliant_censored,precondition_unmet,method_insufficient,censored_no_loq
total,,8148785,1371959,6776807,74702,39483,547052,4435380,1452982,794418,804768
substance,Lead and its compounds,566008,210069,355930,0,0,0,0,491354,0,74654
substance,Nickel and its compounds,554508,335534,218966,0,0,0,0,504456,0,50052
substance,Cadmium and its compounds,548020,164758,383261,0,0,0,0,457172,0,90848
substance,Mercury and its compounds,460808,92034,368773,16988,18593,56238,235852,0,53574,79563
substance,Chlorpyrifos,350928,19377,331551,17032,1250,1092,33577,0,250372,47605
substance,Anthracene,348359,39233,309126,1384,218,37623,271773,0,2020,35341
substance,Fluoranthene,342801,133089,209712,2425,3456,127207,179856,0,1875,27982
substance,Diuron,334884,44400,290484,3500,1861,39038,249769,0,2566,38150
substance,Isoproturon,328280,35498,292782,1059,1459,32980,254649,0,1184,36949
substance,Benzene,300842,19274,281568,15,7,19251,238932,0,349,42288
substance,Naphthalene,293276,57529,235747,166,2,57347,205279,0,194,30288
substance,Hexachlorobenzene,265720,14203,251517,1747,15,12441,206640,0,693,44184
substance,Pentachlorophenol,257367,8503,248864,648,467,7388,209948,0,366,38550
substance,Hexachlorobutadiene,250017,15801,234216,1725,22,14047,189049,0,2783,42391
substance,Terbutryn,218227,20841,197386,2298,81,18462,186677,0,101,10608
substance,Dichlorvos,214044,7734,206310,6853,523,358,73542,0,118532,14236
substance,Aclonifen,206579,8202,198377,80,194,7928,178922,0,1364,18091
substance,Quinoxyfen,194573,4333,190240,758,1,3574,181940,0,0,8300
substance,Endosulfan,191784,11292,180492,3285,1911,6096,155622,0,15805,9065
substance,Chloroalkanes C10-13,183659,4199,179460,91,91,4017,143920,0,9949,25591
substance,Cypermethrin,175772,6185,169587,2116,942,3074,43134,0,120753,5753
substance,Cybutryne,164834,1683,163151,24,369,1290,150448,0,12182,521
substance,Bifenox,160285,1226,159059,4,14,1208,151899,0,886,6274
substance,Tributyltin-cation,149442,5972,143470,164,429,5329,111461,0,18512,13547
substance,Hexachlorocyclohexane,123180,13499,109681,617,911,11971,100086,0,870,8725
substance,Imidacloprid,117207,19869,97338,3441,3257,13171,94057,0,2193,1088
substance,Thiacloprid,95886,5547,90339,1032,233,4282,88876,0,1333,130
substance,Thiamethoxam,89299,5799,83500,6,988,4805,82055,0,1321,124
substance,Ethanimidamide,83368,5793,77575,1683,107,4003,75479,0,753,1343
substance,Clothianidin,76840,2852,73988,972,1,1879,72646,0,1321,21
substance,Silver,65778,4304,61474,2098,741,1458,28199,0,32315,967
substance,Nicosulfuron,64445,6274,58171,139,275,5860,57289,0,882,0
substance,Permethrin-cis+trans,61439,1168,60271,1060,56,52,1698,0,57968,605
substance,Diclofenac,43482,18049,25433,1,0,18048,25423,0,0,10
substance,Bisphenol A,41817,5832,35985,2,3,5827,35163,0,0,822
substance,Deltamethrin,41721,984,40737,984,0,0,0,0,40737,0
substance,Triclosan,34994,323,34671,7,80,236,13975,0,20696,0
substance,Bifenthrin,29391,15,29376,4,9,2,25592,0,3784,0
substance,Esfenvalerate,25547,1,25546,1,0,0,13825,0,11721,0
substance,Clarithromycin,24121,6179,17942,215,610,5354,17905,0,22,15
substance,Carbamazepin,21529,8884,12645,0,0,8884,12633,0,0,12
substance,Erythromycin,20735,1557,19178,2,17,1538,19145,0,31,2
substance,Azitromycin,16578,824,15754,50,138,635,11275,0,4407,73
substance,Imidacloprid (Watch list only alternative code),9482,2572,6910,26,152,2394,6906,0,4,0
substance,Diclofenac sodium,929,665,264,0,0,665,264,0,0,0
country,FR,3536166,273136,3263030,2830,4911,126899,2208530,335524,472259,385213
country,IT,1619333,373127,1246206,56338,15330,164580,700324,341538,165989,175234
country,PL,1144935,210572,934363,3694,4944,110258,688370,250863,56330,30476
country,ES,280371,21504,258867,824,701,8460,199901,41335,29150,0
country,HU,198670,84317,114353,6064,6220,12698,88273,79916,5416,83
country,NL,146677,49003,97674,330,714,20768,67605,39039,13104,5117
country,BE,143005,36718,106287,1311,2413,23028,47894,24605,12456,31298
country,DE,133581,25886,107695,141,398,17208,89656,15025,11153,0
country,AT,123695,27716,95979,117,210,1580,5991,39364,2114,74319
country,CZ,101102,24468,76634,694,1254,15646,64150,7685,531,11142
country,IE,81067,10452,70615,123,195,2030,35060,23773,966,18920
country,RS,80717,23831,56886,315,360,3129,33520,27614,6292,9487
country,SE,74245,63338,10892,503,32,11557,2729,54810,571,4043
country,HR,71815,22503,49312,287,155,9014,36588,15751,451,9569
country,FI,68773,46881,21892,129,261,5393,4724,42121,603,15542
country,SK,55163,6585,48578,244,572,1925,27758,11116,3011,10537
country,BG,50022,8711,41311,258,182,1871,28040,15823,1777,2071
country,LT,49234,6471,42763,39,98,1480,24771,10791,2418,9637
country,NO,35465,23751,11714,122,65,3030,6828,24464,672,284
country,EE,30419,6146,24273,112,57,392,17757,9041,1361,1699
country,SI,26524,3010,23514,13,16,731,15000,8621,2143,0
country,EL,25610,2059,23551,79,75,934,15997,5909,2613,3
country,LV,22971,6516,16455,10,199,1134,9763,9982,804,1079
country,CY,14819,1128,13691,14,3,171,8018,3255,1806,1552
country,CH,9180,3864,5316,16,16,2011,2883,1843,0,2411
country,MK,8822,5633,3189,0,0,0,0,7626,0,1196
country,BA,5403,2535,2868,85,64,610,0,1776,0,2868
country,PT,4999,691,4308,5,23,183,2709,1779,300,0
country,XK,1771,728,1043,0,0,0,0,1365,0,406
country,MT,1554,100,1454,1,3,24,1133,188,58,147
country,ME,1132,83,1049,1,1,49,971,110,0,0
country,LU,867,186,681,1,9,176,243,0,70,368
country,IS,481,221,256,0,0,13,91,315,0,62
country,DK,132,48,84,2,2,44,84,0,0,0
country,RO,45,26,19,0,0,26,19,0,0,0
country,AL,20,15,5,0,0,0,0,15,0,5
era,2015plus,6079247,886301,5192942,54846,21155,398668,3954089,993082,657072,335
era,pre2015,2069538,485658,1583865,19856,18328,148384,481291,459900,137346,804433
station_year_cross,both_assessable,66285,,,,,,,,,
station_year_cross,compliant_aa__compliant_mac,41311,,,,,,,,,
station_year_cross,compliant_aa__exceeding_mac,698,,,,,,,,,
station_year_cross,exceeding_aa__compliant_mac,16290,,,,,,,,,
station_year_cross,exceeding_aa__exceeding_mac,7986,,,,,,,,,
station_year_cross,no_samples_found,310558,,,,,,,,,
station_year_cross,not_assessable_both,163481,,,,,,,,,
