u_model,censo_outcome,n
none,compliant,422118
none,exceedance,17394
none,indeterminate_unresolved,82032
none,method_insufficient,126610
none,precondition_unmet,48014
absolute,compliant,414172
absolute,exceedance,14809
absolute,indeterminate_unresolved,82032
absolute,method_insufficient,126610
absolute,possible_exceedance,7046
absolute,precondition_unmet,51499
relative,compliant,417446
relative,exceedance,13579
relative,indeterminate_unresolved,82032
relative,method_insufficient,126610
relative,possible_exceedance,6436
relative,precondition_unmet,50065
