reading,censo_outcome,n
headline,compliant,414172
headline,exceedance,14809
headline,indeterminate_unresolved,82032
headline,method_insufficient,126610
headline,possible_exceedance,7046
headline,precondition_unmet,51499
row_level,compliant,376827
row_level,exceedance,14505
row_level,indeterminate_other,42
row_level,indeterminate_unresolved,45467
row_level,method_insufficient,121620
row_level,possible_exceedance,6639
row_level,precondition_unmet,131068
censored_guard_band,compliant,371572
censored_guard_band,exceedance,14809
censored_guard_band,indeterminate_unresolved,82032
censored_guard_band,method_insufficient,126610
censored_guard_band,possible_exceedance,45275
censored_guard_band,precondition_unmet,55870
