country,censo_outcome,n
AL,indeterminate_unresolved,15
AT,compliant,109
AT,indeterminate_unresolved,3611
AT,method_insufficient,10
AT,possible_exceedance,1
AT,precondition_unmet,954
BA,compliant,111
BA,exceedance,26
BA,indeterminate_unresolved,675
BA,method_insufficient,28
BA,possible_exceedance,9
BA,precondition_unmet,143
BE,compliant,14135
BE,exceedance,946
BE,indeterminate_unresolved,3239
BE,method_insufficient,1183
BE,possible_exceedance,274
BE,precondition_unmet,1812
BG,compliant,212
BG,exceedance,8
BG,indeterminate_unresolved,815
BG,method_insufficient,167
BG,possible_exceedance,5
BG,precondition_unmet,288
CH,compliant,36
CH,indeterminate_unresolved,50
CH,method_insufficient,18
CH,precondition_unmet,13
CY,compliant,579
CY,exceedance,23
CY,indeterminate_unresolved,15
CY,method_insufficient,248
CY,possible_exceedance,3
CY,precondition_unmet,67
CZ,compliant,52808
CZ,exceedance,4655
CZ,indeterminate_unresolved,1697
CZ,method_insufficient,14807
CZ,possible_exceedance,2077
CZ,precondition_unmet,10201
DE,compliant,19107
DE,exceedance,902
DE,indeterminate_unresolved,8675
DE,method_insufficient,4648
DE,possible_exceedance,296
DE,precondition_unmet,3449
EE,compliant,158
EE,indeterminate_unresolved,264
EE,method_insufficient,27
EE,precondition_unmet,84
EL,compliant,144
EL,exceedance,3
EL,indeterminate_unresolved,392
EL,method_insufficient,16
EL,possible_exceedance,1
ES,compliant,224787
ES,exceedance,4857
ES,indeterminate_unresolved,17
ES,method_insufficient,70135
ES,possible_exceedance,2642
ES,precondition_unmet,14345
FI,compliant,234
FI,exceedance,41
FI,indeterminate_unresolved,4156
FI,method_insufficient,149
FI,possible_exceedance,8
FI,precondition_unmet,213
FR,compliant,76979
FR,exceedance,2509
FR,indeterminate_unresolved,13555
FR,method_insufficient,23355
FR,possible_exceedance,1283
FR,precondition_unmet,6879
HR,compliant,848
HR,exceedance,13
HR,indeterminate_unresolved,1031
HR,method_insufficient,139
HR,possible_exceedance,1
HR,precondition_unmet,201
HU,compliant,10
HU,exceedance,10
HU,indeterminate_unresolved,4329
HU,possible_exceedance,4
HU,precondition_unmet,267
IE,compliant,1033
IE,exceedance,119
IE,indeterminate_unresolved,1538
IE,method_insufficient,397
IE,possible_exceedance,75
IE,precondition_unmet,639
IS,compliant,14
IS,indeterminate_unresolved,6
IS,method_insufficient,4
IS,precondition_unmet,1
IT,compliant,14712
IT,exceedance,273
IT,indeterminate_unresolved,19093
IT,method_insufficient,8189
IT,possible_exceedance,81
IT,precondition_unmet,7057
LT,compliant,546
LT,exceedance,12
LT,indeterminate_unresolved,2169
LT,method_insufficient,163
LT,precondition_unmet,198
LU,compliant,76
LU,exceedance,10
LU,indeterminate_unresolved,111
LU,method_insufficient,42
LU,possible_exceedance,7
LU,precondition_unmet,9
LV,compliant,43
LV,indeterminate_unresolved,866
LV,method_insufficient,151
LV,precondition_unmet,77
MK,compliant,10
MK,exceedance,15
MK,indeterminate_unresolved,632
MK,method_insufficient,38
MK,possible_exceedance,8
MK,precondition_unmet,88
MT,compliant,101
MT,indeterminate_unresolved,16
MT,method_insufficient,24
MT,precondition_unmet,9
NL,compliant,1092
NL,exceedance,69
NL,indeterminate_unresolved,255
NL,method_insufficient,375
NL,possible_exceedance,45
NL,precondition_unmet,208
NO,indeterminate_unresolved,1097
NO,precondition_unmet,389
PL,compliant,1851
PL,exceedance,79
PL,indeterminate_unresolved,9036
PL,method_insufficient,685
PL,possible_exceedance,47
PL,precondition_unmet,38
PT,compliant,24
PT,exceedance,4
PT,indeterminate_unresolved,1
PT,method_insufficient,31
PT,possible_exceedance,5
PT,precondition_unmet,221
RO,compliant,1381
RO,exceedance,72
RO,indeterminate_unresolved,247
RO,method_insufficient,537
RO,possible_exceedance,40
RO,precondition_unmet,2254
RS,compliant,935
RS,exceedance,5
RS,indeterminate_unresolved,1798
RS,method_insufficient,164
RS,possible_exceedance,7
RS,precondition_unmet,144
SE,compliant,37
SE,exceedance,5
SE,indeterminate_unresolved,2098
SE,method_insufficient,20
SE,possible_exceedance,3
SE,precondition_unmet,1007
SK,compliant,1963
SK,exceedance,153
SK,indeterminate_unresolved,402
SK,method_insufficient,750
SK,possible_exceedance,124
SK,precondition_unmet,162
XK,compliant,97
XK,indeterminate_unresolved,131
XK,method_insufficient,110
XK,precondition_unmet,82
