decade_log10_ug_l,censo_outcome,n,n_recent,recent_from
-6,method_insufficient,1125,1125,2020
-5,compliant,18,18,2020
-5,exceedance,417,372,2020
-5,indeterminate_unresolved,2,0,2020
-5,method_insufficient,9059,6433,2020
-4,compliant,6522,3329,2020
-4,exceedance,8647,2070,2020
-4,indeterminate_other,8,8,2020
-4,indeterminate_unresolved,9228,19,2020
-4,method_insufficient,68353,27577,2020
-4,possible_exceedance,791,234,2020
-3,compliant,31554,20254,2020
-3,exceedance,950,485,2020
-3,indeterminate_other,2,2,2020
-3,indeterminate_unresolved,2193,0,2020
-3,method_insufficient,16892,6717,2020
-3,possible_exceedance,335,146,2020
-2,compliant,99380,52130,2020
-2,exceedance,1962,768,2020
-2,indeterminate_other,8,8,2020
-2,indeterminate_unresolved,10040,0,2020
-2,method_insufficient,18353,6951,2020
-2,possible_exceedance,2463,767,2020
-2,precondition_unmet,43655,10757,2020
-1,compliant,94126,42864,2020
-1,exceedance,2258,1483,2020
-1,indeterminate_other,21,21,2020
-1,indeterminate_unresolved,7097,0,2020
-1,method_insufficient,4169,895,2020
-1,possible_exceedance,2526,1416,2020
0,compliant,45254,17708,2020
0,exceedance,246,14,2020
0,indeterminate_other,1,1,2020
0,indeterminate_unresolved,6036,0,2020
0,method_insufficient,2992,139,2020
0,possible_exceedance,470,50,2020
0,precondition_unmet,87413,21400,2020
1,compliant,99973,37966,2020
1,exceedance,25,1,2020
1,indeterminate_other,2,2,2020
1,indeterminate_unresolved,10871,0,2020
1,method_insufficient,677,0,2020
1,possible_exceedance,54,5,2020
