station_code,country,lat,lon,n_obs
ALRV-072,AL,,,1
ATFW10000037,AT,47.32480,16.05150,3
ATFW10000077,AT,47.95455,17.07873,4
ATFW10000107,AT,47.03295,16.42141,2
ATFW10000116,AT,47.32190,16.16170,2
ATFW10000146,AT,47.28560,16.29950,1
ATFW10000157,AT,47.45790,16.66180,1
ATFW10000177,AT,47.20361,16.41486,1
ATFW21500027,AT,46.77410,13.34590,1
ATFW21500097,AT,46.64040,14.94296,2
ATFW21500306,AT,46.59417,14.03551,1
ATFW21500327,AT,46.63270,14.70980,1
ATFW21520107,AT,46.78877,13.49993,1
ATFW21520117,AT,46.89983,13.52950,1
ATFW21531167,AT,46.53695,13.64813,2
ATFW21531177,AT,46.56553,13.69114,1
ATFW21540427,AT,46.56380,14.53560,1
ATFW21550207,AT,46.86500,14.43790,1
ATFW21550377,AT,46.60520,14.44229,1
ATFW21551267,AT,46.60628,14.40153,2
ATFW21560277,AT,46.88560,14.86700,1
ATFW21560297,AT,46.66331,14.94478,1
ATFW30800027,AT,48.22718,14.53282,1
ATFW30900027,AT,48.08800,14.82540,1
ATFW30900037,AT,48.10187,14.94072,1
ATFW30900057,AT,48.19156,15.06485,1
ATFW30900067,AT,48.00810,15.16490,3
ATFW30900097,AT,48.09650,15.51380,1
ATFW30900107,AT,48.21149,15.37915,2
ATFW30900127,AT,48.14527,15.63999,2
ATFW30900167,AT,47.91275,15.20308,1
ATFW30900187,AT,47.92523,15.48207,2
ATFW30900197,AT,48.36974,15.85505,1
ATFW30900207,AT,47.90300,14.83740,1
ATFW30900227,AT,48.36702,15.77878,1
ATFW31000037,AT,48.61508,15.19960,2
ATFW31000047,AT,48.62660,15.64390,4
ATFW31000067,AT,48.41189,15.70696,1
ATFW31000077,AT,47.88560,15.98755,1
ATFW31000087,AT,47.86480,16.18080,2
ATFW31000137,AT,48.14390,16.52945,2
ATFW31000147,AT,47.98000,16.06770,3
ATFW31000167,AT,48.05830,16.40492,2
ATFW31000177,AT,48.12035,16.60938,1
ATFW31000187,AT,48.11660,16.80332,2
ATFW31000207,AT,48.50560,15.00030,2
ATFW31000217,AT,48.44531,15.56676,1
ATFW31000227,AT,48.46716,15.44949,2
ATFW31000267,AT,48.11673,15.88469,1
ATFW31000277,AT,48.20010,15.00410,1
ATFW31000357,AT,48.15080,16.53420,1
ATFW31000377,AT,48.16339,16.99035,4
ATFW31100037,AT,48.71618,16.88904,6
ATFW31100057,AT,48.60163,16.93385,1
ATFW31100087,AT,48.69650,15.93350,1
ATFW31100097,AT,48.71890,16.27250,1
ATFW31200107,AT,47.77360,15.73420,1
ATFW40401017,AT,48.20300,12.87430,2
ATFW40502017,AT,48.26101,13.03435,3
ATFW40502037,AT,48.55699,13.43858,1
ATFW40505037,AT,48.34667,13.40754,2
ATFW40533016,AT,48.05300,13.35380,1
ATFW40607017,AT,48.52066,13.70221,3
ATFW40619016,AT,48.35795,13.99359,1
ATFW40627016,AT,48.45762,13.92227,1
ATFW40627026,AT,48.65930,13.86040,1
ATFW40631016,AT,48.32120,14.10260,1
ATFW40634016,AT,48.58834,14.16526,1
ATFW40709047,AT,47.93700,13.80230,1
ATFW40709117,AT,48.24742,14.32475,1
ATFW40709126,AT,47.56500,13.72160,1
ATFW40712036,AT,47.87320,13.94420,1
ATFW40713047,AT,48.19950,14.26613,1
ATFW40721026,AT,48.01850,13.42450,1
ATFW40735016,AT,47.89650,13.62200,1
ATFW40814017,AT,47.75440,14.64240,1
ATFW40814027,AT,48.03870,14.41920,1
ATFW40815027,AT,48.05120,14.35600,1
ATFW40828016,AT,47.84259,14.35525,1
ATFW40829016,AT,47.70840,14.52720,1
ATFW40907057,AT,48.23985,14.51108,4
ATFW40916017,AT,48.26595,14.44966,1
ATFW40917017,AT,48.25357,14.58627,3
ATFW40932016,AT,48.51482,14.69636,2
ATFW41000076,AT,48.42990,13.46326,1
ATFW51120447,AT,47.23510,12.99320,1
ATFW51210037,AT,47.36640,12.73650,1
ATFW51210087,AT,47.66220,12.75370,2
ATFW51220017,AT,47.37590,12.57520,1
ATFW52120107,AT,47.16323,13.10777,2
ATFW52120147,AT,47.25168,13.19772,1
ATFW52120437,AT,47.53373,13.16632,1
ATFW52220197,AT,47.38528,13.49228,1
ATFW52220237,AT,47.40602,13.57326,1
ATFW53110037,AT,47.58507,13.17595,2
ATFW53110047,AT,47.58084,13.17441,1
ATFW53210017,AT,47.64175,13.12958,1
ATFW54110017,AT,47.75199,13.07933,3
ATFW54110087,AT,47.95816,12.90280,1
ATFW55020267,AT,47.16640,13.71510,1
ATFW55020277,AT,47.14590,13.79060,1
ATFW60800027,AT,47.40530,13.72470,2
ATFW60800047,AT,47.50140,14.46750,2
ATFW60800057,AT,47.55150,14.30440,1
ATFW60800376,AT,47.58796,14.53681,1
ATFW60800406,AT,47.76060,15.31610,1
ATFW61300317,AT,47.28690,15.68750,2
ATFW61300337,AT,47.07639,16.08784,2
ATFW61300426,AT,47.06490,16.00250,1
ATFW61300436,AT,47.42466,15.81729,2
ATFW61300446,AT,47.39450,16.05180,1
ATFW61400067,AT,47.21150,14.49840,1
ATFW61400087,AT,47.19404,14.80715,1
ATFW61400097,AT,47.37170,15.09570,1
ATFW61400127,AT,46.96774,15.48847,3
ATFW61400137,AT,46.70980,15.63397,2
ATFW61400157,AT,47.19146,14.72843,1
ATFW61400167,AT,47.33680,15.02002,1
ATFW61400197,AT,47.59270,15.66120,2
ATFW61400207,AT,47.51900,15.46920,3
ATFW61400217,AT,47.41220,15.27403,3
ATFW61400257,AT,46.95420,15.34200,2
ATFW61400267,AT,46.88286,15.49705,1
ATFW61400277,AT,46.74420,15.35600,1
ATFW61400287,AT,46.75497,15.54587,2
ATFW61400476,AT,47.22410,14.09790,1
ATFW61400486,AT,46.73980,15.76680,2
ATFW61400496,AT,46.80220,15.71930,1
ATFW61400506,AT,46.83480,15.29370,1
ATFW61400597,AT,47.40696,15.26140,1
ATFW71500967,AT,46.77950,12.89270,3
ATFW71560407,AT,46.97546,12.54980,2
ATFW72100107,AT,47.24839,10.26426,1
ATFW72100507,AT,47.38520,10.55830,1
ATFW72100967,AT,47.55712,10.68660,1
ATFW72290817,AT,47.45230,10.92300,1
ATFW73100007,AT,46.88910,10.47000,2
ATFW73100517,AT,47.18460,10.62929,3
ATFW73161207,AT,47.14140,10.30430,2
ATFW73161807,AT,47.11964,10.47667,2
ATFW73190967,AT,47.23152,10.83995,2
ATFW73191817,AT,46.92980,11.00120,1
ATFW73200617,AT,47.27950,11.53382,2
ATFW73200987,AT,47.70106,12.16327,3
ATFW73210707,AT,47.22600,11.23310,2
ATFW73220507,AT,47.11130,11.45610,1
ATFW73224707,AT,47.06860,11.39430,1
ATFW73229907,AT,47.15660,11.35830,2
ATFW73290257,AT,47.17980,11.86500,1
ATFW73300407,AT,47.48590,12.03090,2
ATFW73340907,AT,47.49730,12.06320,1
ATFW73360517,AT,47.51840,12.20270,2
ATFW73390307,AT,47.46960,12.38430,2
ATFW73390507,AT,47.55710,12.45170,1
ATFW73395907,AT,47.52030,12.40290,1
ATFW77122013,AT,46.83013,12.33794,3
ATFW80112037,AT,47.13064,10.08200,3
ATFW80114017,AT,47.13120,9.85359,2
ATFW80124046,AT,47.23810,9.91905,1
ATFW80207027,AT,47.48693,9.72173,2
ATFW80211037,AT,47.43656,9.88819,1
ATFW80213067,AT,47.47858,9.66988,2
