scope,key,n,samples,samples_below,below_loq,loq_gt_30pct_eqs,below_loq_no_loq,no_loq_any,qc_loq_unknown,declared_and_bounded,declared_not_bounded,undeclared_but_bounded,silent,has_eqs,loq_gt_eqs,censored,censored_with_value
total,,4190833,32993382,14808451,2533202,279073,9247,1127831,330973,3057040,61034,5962,1066797,696168,154565,2320139,2306365
substance,Ammonium,102122,990207,94902,32296,0,139,45281,139,56221,650,620,44631,0,0,22376,22269
substance,Nitrate,96039,928631,33013,12445,0,47,51506,47,43901,992,632,50514,0,0,6702,6698
substance,Phosphate,95320,917787,70807,28028,0,26,46648,26,48083,1448,589,45200,0,0,20953,20864
substance,Dissolved oxygen,86733,949423,7378,1266,0,0,53785,0,32320,1763,628,52022,0,0,193,193
substance,Total phosphorus,85650,902949,32285,14480,0,7,43962,7,41095,1477,593,42485,0,0,11302,11255
substance,pH,82016,482320,0,0,0,0,72424,0,9589,14650,3,57774,0,0,0,0
substance,BOD5,81354,740336,66588,23100,0,124,39200,124,42078,680,76,38520,0,0,20039,19989
substance,Nitrite,72002,675154,50723,19166,0,22,35034,22,36944,730,24,34304,0,0,14060,13982
substance,Water temperature,58621,483216,127,126,0,0,48083,0,10538,14666,0,33417,0,0,14,14
substance,Total nitrogen,58546,574772,36928,9466,0,1,33325,1,25211,1447,10,31878,0,0,6207,6083
substance,Oxygen saturation,55271,525892,791,253,0,0,48699,0,6530,1011,42,47688,0,0,246,246
substance,Lead and its compounds,44675,384624,181263,29400,20308,557,12510,12510,32040,0,125,12510,44675,6283,23669,23183
substance,Cadmium and its compounds,43655,382955,200116,29872,20877,149,11201,11201,32413,0,41,11201,43655,11186,26142,25795
substance,Electrical conductivity,43423,336094,524,234,0,0,27381,0,16042,12182,0,15199,0,0,141,141
substance,CODCr,42765,408282,6677,6831,0,1,26184,1,16552,648,29,25536,0,0,5907,5882
substance,Nickel and its compounds,42738,374847,103089,20822,19975,531,12562,12562,30050,0,126,12562,42738,4828,15259,15087
substance,Copper and its compounds,41622,341699,77527,17825,0,407,13912,13912,27590,0,120,13912,0,0,11393,11389
substance,Zinc and its compounds,40341,322125,105785,21794,0,427,14432,14432,25791,0,118,14432,0,0,14726,14330
substance,Total organic carbon (TOC),38291,360474,13166,3894,0,0,17373,0,20696,157,222,17216,0,0,2138,2138
substance,Mercury and its compounds,36628,312209,185761,27373,0,180,8311,8311,28278,0,39,8311,0,0,25851,25571
substance,Total suspended solids,36193,265865,37444,12401,0,0,13418,0,22775,34,0,13384,0,0,5121,5091
substance,Chromium and its compounds,34424,258539,122412,22189,0,244,9987,9987,24317,0,120,9987,0,0,19798,19483
substance,Chloride,34215,198552,17005,4263,0,0,14916,0,19299,64,0,14852,0,0,2699,2699
substance,Arsenic and its compounds,33984,267742,81773,17384,0,444,8876,8876,25037,0,71,8876,0,0,13073,12821
substance,Total oxidised nitrogen,33856,370574,0,376,0,0,31172,0,2624,480,60,30692,0,0,376,370
substance,Atrazine,30946,246712,159033,25039,0,274,5298,5298,25619,0,29,5298,0,0,23438,23214
substance,Simazine,30124,241557,171000,25422,0,131,4440,4440,25654,0,30,4440,0,0,24447,24224
substance,Alachlor,28284,224578,171892,24942,0,81,3233,3233,25040,0,11,3233,0,0,24542,24270
substance,Calcium,28256,170559,6778,1462,0,0,12879,12879,15377,0,0,12879,0,0,468,468
substance,Sulphate,27782,165554,10799,2156,0,0,15141,0,12641,386,0,14755,0,0,973,973
substance,Magnesium,27393,168614,10438,2134,0,0,12687,12687,14706,0,0,12687,0,0,1124,1124
substance,Hardness,26909,176336,6836,1430,0,0,16329,0,10580,3864,0,12465,0,0,385,385
substance,Gamma-HCH (Lindane),26422,199095,152234,22823,0,66,3199,3199,23207,0,16,3199,0,0,22084,21937
substance,Aldrin,26234,203173,149892,23097,0,32,2945,2945,23278,0,11,2945,0,0,23011,22658
substance,Trifluralin,26037,202067,159786,23313,9146,45,2682,2682,23334,0,21,2682,26037,2245,23174,22905
substance,Chlorpyrifos,25960,199801,160500,23527,23973,37,1949,1949,24003,0,8,1949,25960,23861,22786,22538
substance,Sodium,25847,136446,7091,1902,0,0,11479,11479,14368,0,0,11479,0,0,1050,1050
substance,Dieldrin,25763,190951,150505,22503,0,33,3062,3062,22688,0,13,3062,0,0,22296,22143
substance,Endrin,25629,189834,151446,22478,0,37,2949,2949,22667,0,13,2949,0,0,22294,22132
substance,Diuron,25218,203934,145976,21622,12129,479,3144,3144,22054,0,20,3144,25218,4282,19152,19024
substance,Potassium,25130,135635,15386,4047,0,0,10594,10594,14536,0,0,10594,0,0,2681,2681
substance,Isoproturon,24882,201310,148287,22022,889,486,2653,2653,22208,0,21,2653,24882,117,19192,19050
substance,"DDT, p,p'",24803,181197,141457,21852,4671,48,2820,2820,21960,0,23,2820,24803,1294,21453,21291
substance,Iron and its compounds,24102,194661,29114,7558,0,0,8832,8832,15270,0,0,8832,0,0,4252,4251
substance,Chlorfenvinphos,24088,183522,153453,22222,0,38,1745,1745,22331,0,12,1745,0,0,21912,21644
substance,Manganese and its compounds,24055,183277,30837,8059,0,0,8570,8570,15485,0,0,8570,0,0,4286,4286
substance,Isodrin,23842,178486,147642,21658,0,46,2074,2074,21757,0,11,2074,0,0,21461,21299
substance,Fluoranthene,23605,181196,91268,17599,20168,487,3263,3263,20320,0,22,3263,23605,18977,14309,14181
substance,Benzo(a)pyrene,23371,181072,104941,19074,0,368,3029,3029,20321,0,21,3029,0,0,15476,15350
substance,Hexachlorobenzene,23364,175102,134604,20350,0,33,2790,2790,20560,0,14,2790,0,0,20155,20030
substance,Benzene,23351,186631,143649,20799,1479,7,2458,2458,20886,0,7,2458,23351,152,20625,20449
substance,"Benzo(g,h,i)perylene",23275,186239,106766,19256,0,323,2758,2758,20497,0,20,2758,0,0,15618,15461
substance,"1,2-dichloroethane",23151,186900,142573,20505,916,2,2584,2584,20562,0,5,2584,23151,362,20371,20200
substance,Benzo(b)fluoranthene,22954,183248,106373,19044,0,365,2832,2832,20100,0,22,2832,0,0,15304,15101
substance,"Indeno(1,2,3-cd)pyrene",22709,177941,109266,19040,0,306,2694,2694,19996,0,19,2694,0,0,15745,15728
substance,Anthracene,22677,175965,132864,20532,1359,182,2061,2061,20598,0,18,2061,22677,1035,19100,18874
substance,Naphthalene,22514,178621,118016,19515,1887,436,2282,2282,20223,0,9,2282,22514,1337,16071,15929
substance,Trichloromethane,22438,182576,137075,19860,6379,32,2382,2382,20051,0,5,2382,22438,1062,19256,19082
substance,Benzo(k)fluoranthene,22359,178672,120688,19226,0,253,2619,2619,19720,0,20,2619,0,0,16588,16460
substance,"p,p'-DDE",22057,158587,131023,20578,0,32,1431,1431,20611,0,15,1431,0,0,20379,20217
substance,Tetrachloroethylene,22016,164430,118585,19027,429,27,2298,2298,19713,0,5,2298,22016,132,18494,18320
substance,CODMn,21960,256218,7,98,0,3,17059,3,4901,263,0,16796,0,0,91,91
substance,Dichloromethane,21912,176533,138719,20088,3805,16,1684,1684,20223,0,5,1684,21912,37,19761,19585
substance,Carbon tetrachloride,21793,160866,122871,19710,0,3,1891,1891,19897,0,5,1891,0,0,19556,19380
substance,Alpha-Endosulfan,21653,164808,132774,19608,0,33,1967,1967,19680,0,6,1967,0,0,19500,19194
substance,Trichloroethylene,21172,153762,117016,18903,237,8,1819,1819,19347,0,6,1819,21172,12,18723,18550
substance,Chlorophyll a,20973,182603,4438,2683,0,2,11886,2,9081,106,6,11780,0,0,1418,1391
substance,"p,p'-DDD",20739,148888,120148,18788,0,32,1883,1883,18838,0,18,1883,0,0,18642,18480
substance,Total inorganic nitrogen,20560,242817,0,0,0,0,19050,0,1510,0,0,19050,0,0,0,0
substance,Kjeldahl nitrogen,20227,173407,9023,7009,0,0,10993,0,9234,141,0,10852,0,0,6885,6760
substance,Terbuthylazine,20153,141960,95592,18007,0,0,1486,1486,18631,0,36,1486,0,0,15125,15048
