substitution,censo_outcome,two_valued_outcome,n
zero,compliant,compliant,21719
zero,exceedance,exceeding,857
zero,possible_exceedance,compliant,200
zero,possible_exceedance,exceeding,143
zero,precondition_unmet,compliant,5865
zero,precondition_unmet,exceeding,1712
zero,method_insufficient,compliant,6885
zero,indeterminate_unresolved,compliant,1904
zero,indeterminate_unresolved,exceeding,713
zero,indeterminate_other,compliant,1
zero,indeterminate_other,exceeding,1
half,compliant,compliant,21719
half,exceedance,exceeding,857
half,possible_exceedance,compliant,200
half,possible_exceedance,exceeding,143
half,precondition_unmet,compliant,5032
half,precondition_unmet,exceeding,2545
half,method_insufficient,compliant,1406
half,method_insufficient,exceeding,5479
half,indeterminate_unresolved,compliant,1904
half,indeterminate_unresolved,exceeding,713
half,indeterminate_other,compliant,1
half,indeterminate_other,exceeding,1
full,compliant,compliant,21719
full,exceedance,exceeding,857
full,possible_exceedance,compliant,200
full,possible_exceedance,exceeding,143
full,precondition_unmet,compliant,4710
full,precondition_unmet,exceeding,2867
full,method_insufficient,exceeding,6885
full,indeterminate_unresolved,compliant,1904
full,indeterminate_unresolved,exceeding,713
full,indeterminate_other,compliant,1
full,indeterminate_other,exceeding,1
