substitution,censo_outcome,two_valued_outcome,n
full,compliant,compliant,376827
full,exceedance,exceeding,14505
full,indeterminate_other,compliant,36
full,indeterminate_other,exceeding,6
full,indeterminate_unresolved,compliant,33325
full,indeterminate_unresolved,exceeding,12142
full,method_insufficient,exceeding,121620
full,possible_exceedance,compliant,4181
full,possible_exceedance,exceeding,2458
full,precondition_unmet,compliant,81091
full,precondition_unmet,exceeding,49977
half,compliant,compliant,376827
half,exceedance,exceeding,14505
half,indeterminate_other,compliant,36
half,indeterminate_other,exceeding,6
half,indeterminate_unresolved,compliant,33325
half,indeterminate_unresolved,exceeding,12142
half,method_insufficient,compliant,24158
half,method_insufficient,exceeding,97462
half,possible_exceedance,compliant,4181
half,possible_exceedance,exceeding,2458
half,precondition_unmet,compliant,86356
half,precondition_unmet,exceeding,44712
zero,compliant,compliant,376827
zero,exceedance,exceeding,14505
zero,indeterminate_other,compliant,36
zero,indeterminate_other,exceeding,6
zero,indeterminate_unresolved,compliant,33325
zero,indeterminate_unresolved,exceeding,12142
zero,method_insufficient,compliant,121620
zero,possible_exceedance,compliant,4181
zero,possible_exceedance,exceeding,2458
zero,precondition_unmet,compliant,100928
zero,precondition_unmet,exceeding,30140
