country,era,station_years,samples,samples_below_loq,no_flag_no_limit,station_years_with_eqs,loq_above_eqs,loq_above_30pct_eqs,censored,censored_with_positive_value,pct_no_flag_no_limit,pct_loq_above_eqs,pct_failing_legal_criterion,pct_censored_carrying_a_positive_value
AL,before 2015,5421,18306,5,3039,15,0,0,91,91,56.1,0.0,0.0,100.0
AL,2015 onwards,2495,8576,287,0,0,0,0,178,178,0.0,,,100.0
AT,before 2015,49374,514106,2935,44729,4685,237,777,2253,2253,90.6,5.1,16.6,100.0
BA,before 2015,9068,47583,4661,6734,992,90,120,374,365,74.3,9.1,12.1,97.6
BE,before 2015,45128,525083,172955,18328,10985,1266,2041,14974,14945,40.6,11.5,18.6,99.8
BE,2015 onwards,33881,420684,280719,0,10604,1046,1905,22248,15081,0.0,9.9,18.0,67.8
BG,before 2015,19072,124576,2053,13770,1495,187,276,1061,1061,72.2,12.5,18.5,100.0
CH,before 2015,4159,164859,7699,2885,117,19,21,139,139,69.4,16.2,17.9,100.0
CY,before 2015,7491,35359,18215,1107,935,315,462,4571,4559,14.8,33.7,49.4,99.7
CZ,before 2015,118332,1801116,961434,17397,17899,3406,7090,60456,60456,14.7,19.0,39.6,100.0
CZ,2015 onwards,403024,4055493,2435182,0,68346,15732,31893,242597,242597,0.0,23.0,46.7,100.0
DE,before 2015,133801,1938869,535332,33547,24321,4519,6930,52515,52513,25.1,18.6,28.5,100.0
DE,2015 onwards,43014,592435,373916,0,12756,2276,4417,28440,28440,0.0,17.8,34.6,100.0
DK,before 2015,6684,141764,0,5886,0,0,0,126,126,88.1,,,100.0
DK,2015 onwards,1596,29507,0,0,0,0,0,0,0,0.0,,,
EE,before 2015,22543,168518,2936,18436,533,28,62,534,534,81.8,5.3,11.6,100.0
EL,before 2015,7169,24675,0,3635,556,16,25,1025,896,50.7,2.9,4.5,87.4
ES,before 2015,266047,1341000,194118,126230,27097,13398,19896,102081,99668,47.4,49.4,73.4,97.6
ES,2015 onwards,1545684,8111832,6492609,0,289686,63960,118546,1251458,1250191,0.0,22.1,40.9,99.9
FI,before 2015,94289,757922,16939,88258,4801,159,222,3076,3075,93.6,3.3,4.6,100.0
FR,before 2015,691605,5909604,2226567,279979,124560,29378,55750,364960,364960,40.5,23.6,44.8,100.0
HR,before 2015,15360,151703,19928,7682,2233,210,323,3304,3304,50.0,9.4,14.5,100.0
HU,before 2015,44693,924768,0,43525,4620,0,0,0,0,97.4,0.0,0.0,
IE,before 2015,35142,369333,92422,12247,3801,573,1008,10565,10565,34.9,15.1,26.5,100.0
IS,before 2015,283,1343,138,113,25,4,6,69,69,39.9,16.0,24.0,100.0
IT,before 2015,275159,1934847,653865,137735,49405,12923,18627,111488,111353,50.1,26.2,37.7,99.9
LI,before 2015,2079,10252,0,2075,0,0,0,0,0,99.8,,,
LT,before 2015,25819,235830,7985,15771,3088,200,378,2174,1795,61.1,6.5,12.2,82.6
LU,before 2015,1339,10589,3848,752,255,52,82,386,386,56.2,20.4,32.2,100.0
LV,before 2015,15906,114438,2803,11322,1137,229,232,1179,1179,71.2,20.1,20.4,100.0
ME,before 2015,1222,5287,0,1222,0,0,0,0,0,100.0,,,
MK,before 2015,5541,46212,817,5193,791,71,95,54,54,93.7,9.0,12.0,100.0
MT,before 2015,276,414,378,22,150,24,36,250,250,8.0,16.0,24.0,100.0
NL,before 2015,12527,177072,60723,4067,2044,446,774,6037,5998,32.5,21.8,37.9,99.4
NO,before 2015,17653,71297,2025,14888,1486,0,67,746,746,84.3,0.0,4.5,100.0
PL,before 2015,66409,733607,44701,54745,11736,791,1282,4420,4325,82.4,6.7,10.9,97.9
PT,before 2015,3387,20441,2134,1406,286,210,223,1194,1151,41.5,73.4,78.0,96.4
RO,before 2015,24866,223904,32935,11008,2636,775,1450,4694,4694,44.3,29.4,55.0,100.0
RO,2015 onwards,14018,115337,39353,0,1895,678,1757,4360,2423,0.0,35.8,92.7,55.6
RS,before 2015,29092,191275,22950,22200,3053,171,432,4195,4195,76.3,5.6,14.2,100.0
SE,before 2015,59318,619777,2707,44185,3170,23,33,1396,1279,74.5,0.7,1.0,91.6
SE,2015 onwards,19,20,0,0,0,0,0,0,0,0.0,,,
SK,before 2015,26294,278068,89382,8770,3554,964,1546,9919,9919,33.4,27.1,43.5,100.0
TR,before 2015,336,1757,0,304,0,0,0,0,0,90.5,,,
XK,before 2015,4218,23944,795,3605,420,189,289,552,552,85.5,45.0,68.8,100.0
