scope,key,assessable_samples,quantified,censored,exceedance,compliant_quantified,compliant_censored,method_insufficient,censored_no_limit,pct_exceedance,pct_undecidable
total,all,8148785,1371959,6776807,74702,547052,4435380,794418,804768,0.92,9.75
era,2015plus,6079247,886301,5192942,54846,398668,3954089,657072,335,0.90,10.81
era,pre2015,2069538,485658,1583865,19856,148384,481291,137346,804433,0.96,6.64
country,FR,3536166,273136,3263030,2830,126899,2208530,472259,385213,0.08,13.36
country,IT,1619333,373127,1246206,56338,164580,700324,165989,175234,3.48,10.25
country,PL,1144935,210572,934363,3694,110258,688370,56330,30476,0.32,4.92
country,ES,280371,21504,258867,824,8460,199901,29150,0,0.29,10.40
country,HU,198670,84317,114353,6064,12698,88273,5416,83,3.05,2.73
country,NL,146677,49003,97674,330,20768,67605,13104,5117,0.22,8.93
country,BE,143005,36718,106287,1311,23028,47894,12456,31298,0.92,8.71
country,DE,133581,25886,107695,141,17208,89656,11153,0,0.11,8.35
country,AT,123695,27716,95979,117,1580,5991,2114,74319,0.09,1.71
country,CZ,101102,24468,76634,694,15646,64150,531,11142,0.69,0.53
country,IE,81067,10452,70615,123,2030,35060,966,18920,0.15,1.19
country,RS,80717,23831,56886,315,3129,33520,6292,9487,0.39,7.80
country,SE,74245,63338,10892,503,11557,2729,571,4043,0.68,0.77
country,HR,71815,22503,49312,287,9014,36588,451,9569,0.40,0.63
country,FI,68773,46881,21892,129,5393,4724,603,15542,0.19,0.88
country,SK,55163,6585,48578,244,1925,27758,3011,10537,0.44,5.46
country,BG,50022,8711,41311,258,1871,28040,1777,2071,0.52,3.55
country,LT,49234,6471,42763,39,1480,24771,2418,9637,0.08,4.91
country,NO,35465,23751,11714,122,3030,6828,672,284,0.34,1.89
country,EE,30419,6146,24273,112,392,17757,1361,1699,0.37,4.47
country,SI,26524,3010,23514,13,731,15000,2143,0,0.05,8.08
country,EL,25610,2059,23551,79,934,15997,2613,3,0.31,10.20
country,LV,22971,6516,16455,10,1134,9763,804,1079,0.04,3.50
