year,station_years,samples,samples_below_loq,declared_and_bounded,declared_not_bounded,no_flag_no_limit,qc_loq_unknown,station_years_with_eqs,loq_above_eqs,loq_above_30pct_eqs,pct_samples_below_loq,pct_no_flag_no_limit,pct_failing_legal_criterion
2023,333792,2234208,1585367,320786,13006,0,0,62180,10851,23071,71.0,0.0,37.1
2022,307240,1658223,1290703,298557,8683,0,0,59103,10246,21123,77.8,0.0,35.7
2024,299392,1626461,1278123,290944,8448,0,0,55545,15685,26477,78.6,0.0,47.7
2012,276192,2500225,1352184,186679,1153,87749,29887,58325,14981,25887,54.1,31.8,44.4
2019,257069,1716169,1206942,254208,2861,0,0,50130,12854,22606,70.3,0.0,45.1
2011,248272,2183666,993071,153729,1105,92863,38970,49751,11344,20784,45.5,37.4,41.8
2021,239555,1622801,1224574,231827,7728,0,0,45022,9290,18468,75.5,0.0,41.0
2010,239020,2006936,708383,116554,337,121965,54028,40730,10404,16450,35.3,51.0,40.4
2020,236112,1729624,1302457,233300,2812,0,0,42285,8761,16681,75.3,0.0,39.4
2008,198386,1542106,641418,128566,0,69348,16678,25157,7846,12704,41.6,35.0,50.5
2007,194010,1744199,14067,113147,0,80667,31109,29626,8355,12277,0.8,41.6,41.4
2009,193910,1795324,801124,115446,272,77765,21655,36826,8728,15641,44.6,40.1,42.5
2018,137465,1100714,671026,134038,3427,0,0,25908,5556,11424,61.0,0.0,44.1
2006,94531,856969,209,58881,0,35531,3732,12514,3522,5789,0.0,37.6,46.3
2016,80652,564681,376063,79291,1361,0,4,15886,4053,6806,66.6,0.0,42.8
2017,77762,545353,346816,76395,1367,0,4,14183,3147,5797,63.6,0.0,40.9
2015,74692,535650,339995,73272,1420,0,2,13045,3249,6065,63.5,0.0,46.5
2014,72302,548721,336767,68796,3506,0,192,11902,2869,5599,61.4,0.0,47.0
2013,70059,553862,338379,66511,3548,0,182,10974,2528,4923,61.1,0.0,44.9
2005,65112,658861,621,11907,0,53154,23546,6615,280,413,0.1,81.6,6.2
2004,56289,584044,68,8094,0,48191,20923,5086,4,38,0.0,85.6,0.7
2003,48006,521164,17,6662,0,41344,15715,4507,4,8,0.0,86.1,0.2
2002,42245,450633,20,4511,0,37733,13990,4414,4,8,0.0,89.3,0.2
2001,42238,431539,21,1856,0,40382,14682,4221,4,8,0.0,95.6,0.2
2000,34646,372132,15,3626,0,31003,9752,2965,0,9,0.0,89.5,0.3
1999,29369,339274,0,1590,0,27762,7771,2385,0,0,0.0,94.5,0.0
1998,23518,262667,0,2766,0,20751,2755,854,0,0,0.0,88.2,0.0
1997,23376,268992,0,2791,0,20585,2735,835,0,0,0.0,88.1,0.0
1996,21261,238460,0,1732,0,19528,2740,861,0,0,0.0,91.8,0.0
1995,19887,218118,5,1773,0,18112,2463,722,0,1,0.0,91.1,0.1
1994,19442,215186,1,1699,0,17635,2156,634,0,1,0.0,90.7,0.2
1993,16707,188602,0,1467,0,15150,1745,475,0,0,0.0,90.7,0.0
1992,15763,172557,0,1367,0,14303,1699,409,0,0,0.0,90.7,0.0
1991,11206,121485,15,784,0,10320,1758,457,0,15,0.0,92.1,3.3
1990,10649,121589,0,706,0,9806,1161,246,0,0,0.0,92.1,0.0
1989,8665,105377,0,616,0,7866,948,191,0,0,0.0,90.8,0.0
1988,7449,92090,0,574,0,6702,624,53,0,0,0.0,90.0,0.0
1987,6936,85373,0,280,0,6297,592,46,0,0,0.0,90.8,0.0
1985,5321,49882,0,254,0,4461,584,55,0,0,0.0,83.8,0.0
1986,5203,48218,0,249,0,4558,583,54,0,0,0.0,87.6,0.0
1982,5027,46643,0,238,0,4456,519,68,0,0,0.0,88.6,0.0
1984,5024,47997,0,265,0,4382,494,64,0,0,0.0,87.2,0.0
1983,4959,46738,0,240,0,4372,618,69,0,0,0.0,88.2,0.0
1981,4556,32789,0,32,0,4524,465,59,0,0,0.0,99.3,0.0
1980,3937,28722,0,17,0,3920,733,180,0,0,0.0,99.6,0.0
1979,3929,27568,0,15,0,3914,804,194,0,0,0.0,99.6,0.0
1977,3884,27037,0,1,0,3883,641,150,0,0,0.0,100.0,0.0
1978,3857,26780,0,0,0,3857,812,192,0,0,0.0,100.0,0.0
1976,3750,26555,0,1,0,3749,256,3,0,0,0.0,100.0,0.0
1975,1648,12943,0,0,0,1648,266,12,0,0,0.0,100.0,0.0
1971,1595,10248,0,0,0,1595,0,0,0,0,0.0,100.0,
1972,1458,9924,0,0,0,1458,0,0,0,0,0.0,100.0,
1974,849,9155,0,0,0,849,0,0,0,0,0.0,100.0,
1973,833,8944,0,0,0,833,0,0,0,0,0.0,100.0,
1970,582,5847,0,0,0,582,0,0,0,0,0.0,100.0,
1969,445,4887,0,0,0,445,0,0,0,0,0.0,100.0,
1968,275,3265,0,0,0,275,0,0,0,0,0.0,100.0,
1967,233,2301,0,0,0,233,0,0,0,0,0.0,100.0,
1966,170,1483,0,0,0,170,0,0,0,0,0.0,100.0,
1965,121,1421,0,0,0,121,0,0,0,0,0.0,100.0,
