substance,cas,annex_i_category,eu_aa_eqs_ug_l,station_years,station_years_with_eqs,below_loq,no_flag_no_limit,loq_above_eqs,loq_above_30pct_eqs,pct_failing_legal_criterion
Ammonium,,,,102122,0,32296,44631,0,0,
Nitrate,,,,96039,0,12445,50514,0,0,
Phosphate,,,,95320,0,28028,45200,0,0,
Dissolved oxygen,,,,86733,0,1266,52022,0,0,
Total phosphorus,,,,85650,0,14480,42485,0,0,
pH,,,,82016,0,0,57774,0,0,
BOD5,,,,81354,0,23100,38520,0,0,
Nitrite,,,,72002,0,19166,34304,0,0,
Water temperature,,,,58621,0,126,33417,0,0,
Total nitrogen,,,,58546,0,9466,31878,0,0,
Oxygen saturation,,,,55271,0,253,47688,0,0,
Lead and its compounds,,,,44675,44675,29400,12510,6283,20308,45.46
Cadmium and its compounds,,,,43655,43655,29872,11201,11186,20877,47.82
Electrical conductivity,,,,43423,0,234,15199,0,0,
CODCr,,,,42765,0,6831,25536,0,0,
Nickel and its compounds,,,,42738,42738,20822,12562,4828,19975,46.74
Copper and its compounds,,,,41622,0,17825,13912,0,0,
Zinc and its compounds,,,,40341,0,21794,14432,0,0,
Total organic carbon (TOC),,,,38291,0,3894,17216,0,0,
Mercury and its compounds,,,,36628,0,27373,8311,0,0,
Total suspended solids,,,,36193,0,12401,13384,0,0,
Chromium and its compounds,,,,34424,0,22189,9987,0,0,
Chloride,,,,34215,0,4263,14852,0,0,
Arsenic and its compounds,,,,33984,0,17384,8876,0,0,
Total oxidised nitrogen,,,,33856,0,376,30692,0,0,
Atrazine,,,,30946,0,25039,5298,0,0,
Simazine,,,,30124,0,25422,4440,0,0,
Alachlor,,,,28284,0,24942,3233,0,0,
Calcium,,,,28256,0,1462,12879,0,0,
Sulphate,,,,27782,0,2156,14755,0,0,
Magnesium,,,,27393,0,2134,12687,0,0,
Hardness,,,,26909,0,1430,12465,0,0,
Gamma-HCH (Lindane),,,,26422,0,22823,3199,0,0,
Aldrin,,,,26234,0,23097,2945,0,0,
Trifluralin,,,,26037,26037,23313,2682,2245,9146,35.13
Chlorpyrifos,,,,25960,25960,23527,1949,23861,23973,92.35
Sodium,,,,25847,0,1902,11479,0,0,
Dieldrin,,,,25763,0,22503,3062,0,0,
Endrin,,,,25629,0,22478,2949,0,0,
Diuron,,,,25218,25218,21622,3144,4282,12129,48.10
Potassium,,,,25130,0,4047,10594,0,0,
Isoproturon,,,,24882,24882,22022,2653,117,889,3.57
"DDT, p,p'",,,,24803,24803,21852,2820,1294,4671,18.83
Iron and its compounds,,,,24102,0,7558,8832,0,0,
Chlorfenvinphos,,,,24088,0,22222,1745,0,0,
Manganese and its compounds,,,,24055,0,8059,8570,0,0,
Isodrin,,,,23842,0,21658,2074,0,0,
Fluoranthene,,,,23605,23605,17599,3263,18977,20168,85.44
Benzo(a)pyrene,,,,23371,0,19074,3029,0,0,
Hexachlorobenzene,,,,23364,0,20350,2790,0,0,
Benzene,,,,23351,23351,20799,2458,152,1479,6.33
"Benzo(g,h,i)perylene",,,,23275,0,19256,2758,0,0,
"1,2-dichloroethane",,,,23151,23151,20505,2584,362,916,3.96
Benzo(b)fluoranthene,,,,22954,0,19044,2832,0,0,
"Indeno(1,2,3-cd)pyrene",,,,22709,0,19040,2694,0,0,
Anthracene,,,,22677,22677,20532,2061,1035,1359,5.99
Naphthalene,,,,22514,22514,19515,2282,1337,1887,8.38
Trichloromethane,,,,22438,22438,19860,2382,1062,6379,28.43
Benzo(k)fluoranthene,,,,22359,0,19226,2619,0,0,
"p,p'-DDE",,,,22057,0,20578,1431,0,0,
Tetrachloroethylene,,,,22016,22016,19027,2298,132,429,1.95
CODMn,,,,21960,0,98,16796,0,0,
Dichloromethane,,,,21912,21912,20088,1684,37,3805,17.36
Carbon tetrachloride,,,,21793,0,19710,1891,0,0,
Alpha-Endosulfan,,,,21653,0,19608,1967,0,0,
Trichloroethylene,,,,21172,21172,18903,1819,12,237,1.12
Chlorophyll a,,,,20973,0,2683,11780,0,0,
"p,p'-DDD",,,,20739,0,18788,1883,0,0,
Total inorganic nitrogen,,,,20560,0,0,19050,0,0,
Kjeldahl nitrogen,,,,20227,0,7009,10852,0,0,
Terbuthylazine,,,,20153,0,18007,1486,0,0,
"DDT, o,p'",,,,19438,0,17891,1501,0,0,
Metolachlor,,,,19313,0,17029,1407,0,0,
Alpha-HCH,,,,18845,0,16785,1781,0,0,
Hexachlorobutadiene,,,,18375,18375,16083,2127,15792,16110,87.67
Aluminium and its compounds,,,,17861,0,7402,7299,0,0,
Toluene,,,,17760,0,16542,1138,0,0,
Beta-HCH,,,,17693,0,15575,1767,0,0,
Heptachlor,,,,17479,0,16189,1209,0,0,
Selenium and its compounds,,,,16903,0,14150,617,0,0,
