country,station_years,samples,samples_below_loq,declared_and_bounded,declared_not_bounded,no_flag_no_limit,qc_loq_unknown,station_years_with_eqs,loq_above_eqs,loq_above_30pct_eqs,pct_samples_below_loq,pct_no_flag_no_limit,pct_failing_legal_criterion
ES,1811731,9452832,6686727,1657102,28399,126230,8863,316783,77358,138442,70.7,7.0,43.7
FR,691605,5909604,2226567,411626,0,279979,72758,124560,29378,55750,37.7,40.5,44.8
CZ,521356,5856609,3396616,487710,16249,17397,5748,86245,19138,38983,58.0,3.3,45.2
IT,275159,1934847,653865,137414,0,137735,71194,49405,12923,18627,33.8,50.1,37.7
DE,176815,2531304,909248,137638,0,33547,27529,37077,6795,11347,35.9,19.0,30.6
FI,94289,757922,16939,6031,0,88258,26298,4801,159,222,2.2,93.6,4.6
BE,79009,945767,453674,51034,9647,18328,9256,21589,2312,3946,48.0,23.2,18.3
PL,66409,733607,44701,11664,0,54745,21879,11736,791,1282,6.1,82.4,10.9
SE,59337,619797,2707,15151,1,44185,10336,3170,23,33,0.4,74.5,1.0
AT,49374,514106,2935,4645,0,44729,14081,4685,237,777,0.6,90.6,16.6
HU,44693,924768,0,1168,0,43525,13220,4620,0,0,0.0,97.4,0.0
RO,38884,339241,72288,27876,0,11008,1408,4531,1453,3207,21.3,28.3,70.8
IE,35142,369333,92422,22689,0,12247,6159,3801,573,1008,25.0,34.9,26.5
RS,29092,191275,22950,6892,0,22200,10212,3053,171,432,12.0,76.3,14.2
SK,26294,278068,89382,16469,1054,8770,1349,3554,964,1546,32.1,33.4,43.5
LT,25819,235830,7985,10048,0,15771,5493,3088,200,378,3.4,61.1,12.2
EE,22543,168518,2936,833,3274,18436,1299,533,28,62,1.7,81.8,11.6
BG,19072,124576,2053,5302,0,13770,1574,1495,187,276,1.6,72.2,18.5
NO,17653,71297,2025,2765,0,14888,6725,1486,0,67,2.8,84.3,4.5
LV,15906,114438,2803,4584,0,11322,2295,1137,229,232,2.4,71.2,20.4
HR,15360,151703,19928,7678,0,7682,4013,2233,210,323,13.1,50.0,14.5
NL,12527,177072,60723,8460,0,4067,1555,2044,446,774,34.3,32.5,37.9
BA,9068,47583,4661,2334,0,6734,2355,992,90,120,9.8,74.3,12.1
DK,8280,171271,0,474,1920,5886,0,0,0,0,0.0,71.1,
AL,7916,26882,292,4388,458,3039,15,15,0,0,1.1,38.4,0.0
CY,7491,35359,18215,6384,0,1107,435,935,315,462,51.5,14.8,49.4
EL,7169,24675,0,3450,0,3635,2044,556,16,25,0.0,50.7,4.5
MK,5541,46212,817,348,0,5193,1672,791,71,95,1.8,93.7,12.0
XK,4218,23944,795,613,0,3605,641,420,189,289,3.3,85.5,68.8
CH,4159,164859,7699,1274,0,2885,149,117,19,21,4.7,69.4,17.9
PT,3387,20441,2134,1981,0,1406,36,286,210,223,10.4,41.5,78.0
LI,2079,10252,0,4,0,2075,0,0,0,0,0.0,99.8,
LU,1339,10589,3848,587,0,752,313,255,52,82,36.3,56.2,32.2
ME,1222,5287,0,0,0,1222,0,0,0,0,0.0,100.0,
TR,336,1757,0,0,32,304,0,0,0,0,0.0,90.5,
IS,283,1343,138,170,0,113,53,25,4,6,10.3,39.9,24.0
MT,276,414,378,254,0,22,16,150,24,36,91.3,8.0,24.0
