scope,key,eu_outcome,tr_outcome,n
total,rows_read,,,6450192
total,rows_river,,,4190833
total,rows_scored,,,1488677
total,rows_co_regulated,,,325011
total,co_regulated_differ,,,57620
jurisdiction,EU,Compliant,,489365
jurisdiction,EU,Exceeding,,45503
jurisdiction,EU,MethodInsufficient,,149282
jurisdiction,EU,NoThresholdDefined,,802909
jurisdiction,EU,BoundNotEstablished,,1618
jurisdiction,TR,Compliant,,961603
jurisdiction,TR,Exceeding,,69770
jurisdiction,TR,MethodInsufficient,,96397
jurisdiction,TR,NoThresholdDefined,,359289
jurisdiction,TR,BoundNotEstablished,,1618
cross,,NoThresholdDefined,Compliant,665805
cross,,Compliant,NoThresholdDefined,245682
cross,,Compliant,Compliant,242758
cross,,MethodInsufficient,NoThresholdDefined,76682
cross,,NoThresholdDefined,MethodInsufficient,74696
cross,,NoThresholdDefined,Exceeding,62408
cross,,MethodInsufficient,Compliant,47999
cross,,Exceeding,NoThresholdDefined,36925
cross,,MethodInsufficient,MethodInsufficient,20946
cross,,Exceeding,Compliant,5041
cross,,MethodInsufficient,Exceeding,3655
cross,,Exceeding,Exceeding,3537
cross,,BoundNotEstablished,BoundNotEstablished,1618
cross,,Compliant,MethodInsufficient,755
cross,,Compliant,Exceeding,170
cross_co_regulated,,Compliant,Compliant,242758
cross_co_regulated,,MethodInsufficient,Compliant,47999
cross_co_regulated,,MethodInsufficient,MethodInsufficient,20946
cross_co_regulated,,Exceeding,Compliant,5041
cross_co_regulated,,MethodInsufficient,Exceeding,3655
cross_co_regulated,,Exceeding,Exceeding,3537
cross_co_regulated,,Compliant,MethodInsufficient,755
cross_co_regulated,,Compliant,Exceeding,170
cross_co_regulated,,BoundNotEstablished,BoundNotEstablished,150
substance,2921-88-2|Chlorpyrifos,,,23208
substance,206-44-0|Fluoranthene,,,15381
substance,330-54-1|Diuron,,,5348
substance,7440-22-4|Silver,,,3117
substance,52645-53-1|Permethrin-cis+trans,,,2866
substance,80-05-7|Bisphenol A,,,2309
substance,111988-49-9|Thiacloprid,,,1830
substance,111991-09-4|Nicosulfuron,,,1154
substance,210880-92-5|Clothianidin,,,1013
substance,"50-29-3|DDT, p,p'",,,925
substance,3380-34-5|Triclosan,,,339
substance,153719-23-4|Thiamethoxam,,,115
substance,79-01-6|Trichloroethylene,,,12
substance,15307-79-6|Diclofenac sodium,,,3
substance,120-12-7|Anthracene,,,0
substance,71-43-2|Benzene,,,0
substance,34123-59-6|Isoproturon,,,0
substance,91-20-3|Naphthalene,,,0
substance,87-86-5|Pentachlorophenol,,,0
substance,886-50-0|Terbutryn,,,0
substance,608-73-1|Hexachlorocyclohexane,,,0
substance,115-29-7|Endosulfan,,,0
substance,124495-18-7|Quinoxyfen,,,0
substance,28159-98-0|Cybutryne,,,0
substance,42576-02-3|Bifenox,,,0
substance,74070-46-5|Aclonifen,,,0
