country,eu_member_state,pct_silent,pct_failing_criterion,station_years
AT,yes,90.592,16.585,49374
BA,no,74.261,12.097,9068
BE,yes,23.197,18.278,79009
BG,yes,72.200,18.462,19072
CY,yes,14.778,49.412,7491
CZ,yes,3.337,45.200,521356
DE,yes,18.973,30.604,176815
EE,yes,81.781,11.632,22543
EL,yes,50.704,4.496,7169
ES,yes,6.967,43.702,1811731
FI,yes,93.604,4.624,94289
FR,yes,40.483,44.758,691605
HR,yes,50.013,14.465,15360
HU,yes,97.387,0.000,44693
IE,yes,34.850,26.519,35142
IT,yes,50.057,37.703,275159
LT,yes,61.083,12.241,25819
LV,yes,71.181,20.405,15906
MK,no,93.720,12.010,5541
NL,yes,32.466,37.867,12527
NO,no,84.337,4.509,17653
PL,yes,82.436,10.924,66409
RO,yes,28.310,70.779,38884
RS,no,76.310,14.150,29092
SE,yes,74.464,1.041,59337
SK,yes,33.354,43.500,26294
