year,station_years,no_flag_no_limit_pct,fails_30pct_criterion_pct,loq_above_standard_pct,censored_with_value_pct,has_a_european_standard_pct,plotted
1965,121,100.000,0.000,0.000,0.000,0.000,False
1966,170,100.000,0.000,0.000,0.000,0.000,False
1967,233,100.000,0.000,0.000,0.000,0.000,False
1968,275,100.000,0.000,0.000,0.000,0.000,False
1969,445,100.000,0.000,0.000,0.000,0.000,False
1970,582,100.000,0.000,0.000,0.000,0.000,False
1971,1595,100.000,0.000,0.000,0.000,0.000,False
1972,1458,100.000,0.000,0.000,0.000,0.000,False
1973,833,100.000,0.000,0.000,0.000,0.000,False
1974,849,100.000,0.000,0.000,0.000,0.000,False
1975,1648,100.000,0.000,0.000,0.000,0.728,False
1976,3750,99.973,0.000,0.000,0.000,0.080,False
1977,3884,99.974,0.000,0.000,100.000,3.862,False
1978,3857,100.000,0.000,0.000,0.000,4.978,False
1979,3929,99.618,0.000,0.000,100.000,4.938,False
1980,3937,99.568,0.000,0.000,100.000,4.572,False
1981,4556,99.298,0.000,0.000,100.000,1.295,False
1982,5027,88.641,0.000,0.000,100.000,1.353,False
1983,4959,88.163,0.000,0.000,100.000,1.391,False
1984,5024,87.221,0.000,0.000,100.000,1.274,False
1985,5321,83.838,0.000,0.000,100.000,1.034,False
1986,5203,87.603,0.000,0.000,100.000,1.038,False
1987,6936,90.787,0.000,0.000,100.000,0.663,False
1988,7449,89.972,0.000,0.000,100.000,0.712,False
1989,8665,90.779,0.000,0.000,100.000,2.204,False
1990,10649,92.084,0.000,0.000,100.000,2.310,False
1991,11206,92.094,3.282,0.000,100.000,4.078,False
1992,15763,90.738,0.000,0.000,100.000,2.595,False
1993,16707,90.681,0.000,0.000,100.000,2.843,False
1994,19442,90.706,0.158,0.000,100.000,3.261,False
1995,19887,91.075,0.139,0.000,100.000,3.631,False
1996,21261,91.849,0.000,0.000,98.876,4.050,True
1997,23376,88.060,0.000,0.000,100.000,3.572,True
1998,23518,88.235,0.000,0.000,100.000,3.631,True
1999,29369,94.528,0.000,0.000,100.000,8.121,True
2000,34646,89.485,0.304,0.000,100.000,8.558,True
2001,42238,95.606,0.190,0.095,100.000,9.993,True
2002,42245,89.319,0.181,0.091,98.498,10.449,True
2003,48006,86.123,0.178,0.089,98.481,9.388,True
2004,56289,85.614,0.747,0.079,98.796,9.036,True
2005,65112,81.635,6.243,4.233,99.637,10.159,True
2006,94531,37.587,46.260,28.144,99.690,13.238,True
2007,194010,41.579,41.440,28.202,99.878,15.270,True
2008,198386,34.956,50.499,31.188,99.957,12.681,True
2009,193910,40.104,42.473,23.701,97.194,18.991,True
2010,239020,51.027,40.388,25.544,99.406,17.040,True
2011,248272,37.404,41.776,22.802,99.893,20.039,True
2012,276192,31.771,44.384,25.685,99.984,21.118,True
2013,70059,0.000,44.861,23.036,100.000,15.664,True
2014,72302,0.000,47.043,24.105,100.000,16.462,True
2015,74692,0.000,46.493,24.906,100.000,17.465,True
2016,80652,0.000,42.843,25.513,100.000,19.697,True
2017,77762,0.000,40.873,22.189,100.000,18.239,True
2018,137465,0.000,44.094,21.445,100.000,18.847,True
2019,257069,0.000,45.095,25.641,100.000,19.501,True
2020,236112,0.000,39.449,20.719,100.000,17.909,True
2021,239555,0.000,41.020,20.634,98.463,18.794,True
2022,307240,0.000,35.739,17.336,98.344,19.237,True
2023,333792,0.000,37.104,17.451,98.835,18.628,True
2024,299392,0.000,47.668,28.238,99.812,18.553,True
