from,answer,to,witnesses_verified
threshold,no,no_threshold_defined,2
threshold,yes,fraction,—
bound,"no flag, no limit",indeterminate_unresolved,2
bound,"flag, no limit",indeterminate_other,2
bound,yes,threshold,—
fraction,no,precondition_unmet,2
fraction,"yes, or not a metal",hardness,—
hardness,no,precondition_unmet,1
hardness,"yes: class standard, or not cadmium",bio,—
bio,"no, and not Art. 3(3b)",precondition_unmet,2
bio,"pass, or not lead/nickel",status,—
status,censored,art3,—
status,quantified,contra,—
contra,"yes: '<LOQ', Art. 5(2)",art3,—
contra,no,band,—
art3,yes,method_insufficient,4
art3,no,compliant,4
band,within,possible_exceedance,2
band,above,exceedance,2
band,below,compliant,2
