substance,standard_ug_l,ceiling_ug_l,loq_p25,loq_p50,loq_p75,n_limits_since_2020,decades_above_ceiling,plotted
Carbamazepine,2.5,0.75,0.005,0.005,0.01,649,-2.176,no
Aclonifen,0.12,0.036,0.001,0.001,0.005,8196,-1.556,no
Quinoxyfen,0.15,0.045,0.0005,0.002,0.01,8250,-1.352,no
Anthracene,0.1,0.03,0.001,0.002,0.005,7825,-1.176,no
Dichloromethane,20,6,0.5,0.5,5,7601,-1.079,no
Naphthalene,2,0.6,0.01,0.05,0.5,8189,-1.079,no
Trifluralin,0.03,0.009,0.001,0.001,0.004,8531,-0.954,no
Isoproturon,0.3,0.09,0.01,0.01,0.02,8739,-0.954,no
DDT total ( 11 ),0.025,0.0075,0.0005,0.001,0.001,8763,-0.875,no
"1,2-Dichloroethane",10,3,0.5,0.5,1,7684,-0.778,no
Tetrachloroethylene,10,3,0.5,0.5,1,7496,-0.778,no
Hexachlorocyclohexane,0.02,0.006,0.0006,0.001,0.001,2094,-0.778,no
Benzene,10,3,0.2,0.5,0.5,7710,-0.778,no
Trichloroethylene,10,3,0.5,0.5,1,7483,-0.778,no
Pentachlorophenol,0.4,0.12,0.02,0.025,0.1,2190,-0.681,no
Ibuprofen,0.14,0.042,0.005,0.01,0.02,668,-0.623,no
Pentachlorobenzene,0.007,0.0021,0.0002,0.0005,0.001,4237,-0.623,no
Erythromycin,0.5,0.15,0.02,0.04,0.04,902,-0.574,no
Endosulfan,0.005,0.0015,0.0005,0.0005,0.001,1662,-0.477,no
Bifenox,0.012,0.0036,0.001,0.0012,0.0025,8195,-0.477,no
Dicofol,0.00445,0.001335,0.00039,0.0005,0.001,7989,-0.427,no
Terbutryn,0.065,0.0195,0.001,0.01,0.02,8622,-0.290,no
Trichloromethane,2.5,0.75,0.5,0.5,1,7612,-0.176,no
Diuron,0.049,0.0147,0.01,0.01,0.02,8593,-0.167,no
Thiamethoxam,0.04,0.012,0.01,0.01,0.025,2460,-0.079,no
Cadmium and its compounds (depending on water hardness classes) ( 9 ),0.08,0.024,0.02,0.02,0.05,10757,-0.079,no
Acetamiprid,0.037,0.0111,0.01,0.01,0.02,2274,-0.045,no
Lead and its compounds,1.2,0.36,0.25,0.36,0.5,10695,0.000,no
Di(2-ethylhexyl)- phthalate (DEHP),1.3,0.39,0.3,0.4,0.9,1462,0.011,no
Clarithromycin,0.13,0.039,0.01,0.04,0.04,1049,0.011,no
Nickel and its compounds,2,0.6,0.5,0.8,1,10705,0.125,no
Glyphosate,0.1,0.03,0.03,0.05,0.05,7626,0.222,no
Diclofenac,0.04,0.012,0.005,0.02,0.08,1316,0.222,no
Tributyltin compounds (17 ) (Tributyltin-cation),0.0002,6e-05,0.0001,0.0001,0.0005,617,0.222,no
C 10-13 Chloroalkanes (10 ),0.4,0.12,0.1,0.2,0.3,1207,0.222,no
Cybutryne,0.0025,0.00075,0.001,0.002,0.002,8189,0.426,no
Estrone (E1),0.00036,0.000108,0.0002,0.0003,0.001,137,0.444,yes
Thiacloprid,0.01,0.003,0.01,0.01,0.02,4622,0.523,yes
Clothianidin,0.01,0.003,0.01,0.01,0.02,2272,0.523,yes
Triclosan,0.02,0.006,0.01,0.02,0.03,439,0.523,yes
Imidacloprid,0.0068,0.00204,0.005,0.01,0.01,4309,0.690,yes
Azithromycin,0.019,0.0057,0.04,0.04,0.04,896,0.846,yes
Nicosulfuron,0.0087,0.00261,0.01,0.02,0.025,1153,0.884,yes
Fluoranthene,0.000762,0.0002286,0.001,0.002,0.003,8088,0.942,yes
Chlorpyrifos (Chlorpyrifos-ethyl),0.00046,0.000138,0.001,0.002,0.005,8790,1.161,yes
Cypermethrin ( 22 ),3e-05,9e-06,8e-05,0.0005,0.001,4490,1.745,yes
Dichlorvos,0.0006,0.00018,0.0006,0.01,0.03,7952,1.745,yes
Permethrin,0.00027,8.1e-05,0.001,0.005,0.01,1264,1.790,yes
Bifenthrin,9.5e-05,2.85e-05,0.001,0.0025,0.025,1100,1.943,yes
Silver,0.01,0.003,0.5,1,1,1487,2.523,yes
Hexachlorobutadiene,0.00095,0.000285,0.03,0.1,0.1,5060,2.545,yes
80-05-7,0.00017,5.1e-05,0.01,0.02,0.5,1194,2.593,yes
Esfenvalerate,1.7e-05,5.1e-06,0.01,0.01,0.025,1098,3.292,yes
Deltamethrin,1.7e-06,5.1e-07,0.005,0.02,0.025,1125,4.593,yes
