panel,key,assessable,compliant,exceedance,possible_exceedance,precondition_unmet,method_insufficient,bound
country,BE,21589,13157,945,274,3651,1054,2508
country,ES,316783,201033,4667,2420,40395,68221,47
country,CZ,86245,49532,4619,1962,14326,14665,1141
country,FR,124560,72625,2505,1275,15435,22944,9776
country,SK,3554,1842,139,109,558,679,227
country,NL,2044,1028,69,45,486,375,41
country,DE,37077,17313,902,296,7606,4583,6377
country,HR,2233,762,12,1,906,119,433
country,IE,3801,1033,119,75,791,397,1386
country,IT,49405,13546,273,81,16039,7163,12303
country,RS,3053,786,5,3,949,164,1146
country,LT,3088,523,12,0,1281,163,1109
country,PL,11736,1849,74,47,2089,292,7385
country,RO,4531,486,40,10,3773,216,6
country,FI,4801,225,41,8,4158,149,220
country,SE,3170,37,5,3,3012,20,93
country,HU,4620,10,10,4,4318,0,278
country,AT,4685,8,0,0,4149,0,528
year,1999,2385,0,0,0,1079,0,1306
year,2000,2965,0,0,0,1225,0,1740
year,2001,4221,0,0,0,1742,0,2479
year,2002,4414,0,0,0,2221,0,2193
year,2003,4507,0,0,0,2289,0,2218
year,2004,5086,0,0,0,2975,0,2111
year,2005,6615,841,41,9,2697,157,2870
year,2006,12514,5289,433,239,3762,2341,450
year,2007,29626,10669,997,280,7393,4816,5471
year,2008,25157,10088,542,348,6513,4831,2835
year,2009,36826,18659,544,506,7064,6144,3909
year,2010,40730,16911,925,267,9916,6364,6347
year,2011,49751,22958,686,267,10211,8511,7118
year,2012,58325,31073,759,317,11553,11521,3102
year,2013,10974,6936,377,185,1379,2097,0
year,2014,11902,7595,441,197,1290,2379,0
year,2015,13045,8564,416,208,1073,2784,0
year,2016,15886,9532,497,224,3072,2561,0
year,2017,14183,8198,421,160,3272,2132,0
year,2018,25908,15073,951,322,5094,4468,0
year,2019,50130,30172,1282,492,7507,10677,0
year,2020,42285,27235,927,456,5783,7884,0
year,2021,45022,29899,1148,453,5536,7986,0
year,2022,59103,41188,1060,581,6974,9281,19
year,2023,62180,42122,1331,684,8418,9583,42
year,2024,55545,33825,727,444,5446,15103,0
